,dt,open,close,high,low,vol,ts
0,2022-01-04 22:31:00,180.28,180.14,181.03,179.85,2884717,1641306660
1,2022-01-04 22:32:00,180.225,179.71,180.225,179.67,719884,1641306720
2,2022-01-04 22:33:00,179.67,179.65,179.79,179.65,591185,1641306780
3,2022-01-04 22:34:00,179.45,179.52,179.695,179.45,567140,1641306840
4,2022-01-04 22:35:00,179.34,179.67,179.68,179.26,462153,1641306900
5,2022-01-04 22:36:00,179.54,179.547,179.64,179.54,375274,1641306960
6,2022-01-04 22:37:00,179.59,179.67,179.79,179.59,353328,1641307020
7,2022-01-04 22:38:00,179.77,179.89,179.95,179.77,397268,1641307080
8,2022-01-04 22:39:00,179.74,180.07,180.091,179.74,458001,1641307140
9,2022-01-04 22:40:00,180.02,180.08,180.14,179.95,367901,1641307200
10,2022-01-04 22:41:00,180.14,179.96,180.14,179.93,373049,1641307260
11,2022-01-04 22:42:00,179.87,179.896,179.935,179.74,366167,1641307320
12,2022-01-04 22:43:00,179.885,179.45,179.885,179.45,396334,1641307380
13,2022-01-04 22:44:00,179.448,179.47,179.592,179.448,346267,1641307440
14,2022-01-04 22:45:00,179.52,179.725,179.725,179.52,241022,1641307500
15,2022-01-04 22:46:00,179.79,179.649,179.79,179.649,376354,1641307560
16,2022-01-04 22:47:00,179.5,179.53,179.53,179.4,353837,1641307620
17,2022-01-04 22:48:00,179.55,179.83,179.83,179.54,323155,1641307680
18,2022-01-04 22:49:00,179.98,179.9,179.98,179.86,283423,1641307740
19,2022-01-04 22:50:00,179.875,180.095,180.13,179.875,314531,1641307800
20,2022-01-04 22:51:00,179.95,179.9,179.95,179.79,429358,1641307860
21,2022-01-04 22:52:00,179.885,180.02,180.063,179.88,343107,1641307920
22,2022-01-04 22:53:00,179.97,180.035,180.09,179.97,226757,1641307980
23,2022-01-04 22:54:00,179.98,180.035,180.095,179.98,323368,1641308040
24,2022-01-04 22:55:00,180.06,180.05,180.06,179.95,315563,1641308100
25,2022-01-04 22:56:00,180.06,180.24,180.24,180.053,555362,1641308160
26,2022-01-04 22:57:00,180.33,180.45,180.45,180.33,620696,1641308220
27,2022-01-04 22:58:00,180.42,180.05,180.42,180.05,420221,1641308280
28,2022-01-04 22:59:00,179.9,179.735,179.9,179.7,425684,1641308340
29,2022-01-04 23:00:00,179.83,179.88,179.88,179.83,232515,1641308400
30,2022-01-04 23:01:00,179.88,179.592,179.88,179.592,546346,1641308460
31,2022-01-04 23:02:00,179.72,179.565,179.72,179.53,372474,1641308520
32,2022-01-04 23:03:00,179.5,179.455,179.5,179.44,309989,1641308580
33,2022-01-04 23:04:00,179.384,179.218,179.39,179.218,429922,1641308640
34,2022-01-04 23:05:00,179.29,179.43,179.465,179.29,337155,1641308700
35,2022-01-04 23:06:00,179.5,179.46,179.5,179.34,272935,1641308760
36,2022-01-04 23:07:00,179.571,179.55,179.59,179.53,243394,1641308820
37,2022-01-04 23:08:00,179.51,179.4,179.53,179.4,188032,1641308880
38,2022-01-04 23:09:00,179.41,179.65,179.65,179.39,249068,1641308940
39,2022-01-04 23:10:00,179.635,179.62,179.65,179.608,242628,1641309000
40,2022-01-04 23:11:00,179.618,179.705,179.77,179.618,260568,1641309060
41,2022-01-04 23:12:00,179.585,179.63,179.7,179.57,246378,1641309120
42,2022-01-04 23:13:00,179.72,179.64,179.835,179.64,397730,1641309180
43,2022-01-04 23:14:00,179.45,179.52,179.7,179.45,374108,1641309240
44,2022-01-04 23:15:00,179.46,179.53,179.53,179.46,174716,1641309300
