,dt,open,close,high,low,vol,turnover,ts
0,2024-09-05 21:31:00,138.2,138.59,141.17,137.84,967690,134336672.0,1725543060
1,2024-09-05 21:32:00,138.46,137.995,138.677,137.995,145124,20083472.0,1725543120
2,2024-09-05 21:33:00,138.195,138.91,138.91,138.195,176391,24400912.0,1725543180
3,2024-09-05 21:34:00,139.07,138.93,139.16,138.93,187273,26037632.0,1725543240
4,2024-09-05 21:35:00,139.025,138.925,139.22,138.925,133009,18506576.0,1725543300
5,2024-09-05 21:36:00,139.3,139.785,139.785,139.3,196752,27455904.0,1725543360
6,2024-09-05 21:37:00,139.8,139.79,139.8,139.45,132518,18507888.0,1725543420
7,2024-09-05 21:38:00,139.68,139.97,140.08,139.68,201454,28200576.0,1725543480
8,2024-09-05 21:39:00,140.055,140.13,140.185,140.05,123367,17281152.0,1725543540
9,2024-09-05 21:40:00,140.48,140.35,140.701,140.35,147048,20658912.0,1725543600
10,2024-09-05 21:41:00,140.465,140.14,140.465,140.14,138166,19389856.0,1725543660
11,2024-09-05 21:42:00,140.21,140.18,140.322,140.04,121013,16957088.0,1725543720
12,2024-09-05 21:43:00,140.05,140.135,140.15,140.02,88356,12377600.0,1725543780
13,2024-09-05 21:44:00,140.34,140.2,140.34,140.19,86747,12168544.0,1725543840
14,2024-09-05 21:45:00,140.28,140.13,140.28,140.125,65813,9224608.0,1725543900
15,2024-09-05 21:46:00,140.33,140.431,140.499,140.33,137353,19286464.0,1725543960
16,2024-09-05 21:47:00,140.56,140.66,140.75,140.49,104130,14638688.0,1725544020
17,2024-09-05 21:48:00,140.46,140.23,140.46,140.21,93491,13122624.0,1725544080
18,2024-09-05 21:49:00,140.1,140.26,140.26,140.1,106240,14898016.0,1725544140
19,2024-09-05 21:50:00,139.79,140.05,140.09,139.79,130157,18217696.0,1725544200
20,2024-09-05 21:51:00,140.085,140.09,140.12,139.97,71943,10076768.0,1725544260
21,2024-09-05 21:52:00,140.235,139.81,140.235,139.81,128273,17960416.0,1725544320
22,2024-09-05 21:53:00,140.005,140.22,140.381,140.005,107048,15000608.0,1725544380
23,2024-09-05 21:54:00,140.27,140.15,140.27,140.125,52141,7307168.0,1725544440
24,2024-09-05 21:55:00,140.285,140.26,140.285,140.099,52821,7404768.0,1725544500
25,2024-09-05 21:56:00,140.4,140.3,140.4,140.25,72389,10156096.0,1725544560
26,2024-09-05 21:57:00,140.305,140.55,140.55,140.305,67999,9547584.0,1725544620
27,2024-09-05 21:58:00,140.68,140.42,140.7,140.42,92274,12973568.0,1725544680
28,2024-09-05 21:59:00,140.46,140.92,140.92,140.46,107339,15105216.0,1725544740
29,2024-09-05 22:00:00,140.884,140.79,140.94,140.695,116986,16477376.0,1725544800
30,2024-09-05 22:01:00,141.205,141.336,141.336,141.06,168292,23753088.0,1725544860
31,2024-09-05 22:02:00,141.375,141.36,141.43,141.341,132440,18726016.0,1725544920
32,2024-09-05 22:03:00,141.27,141.2,141.37,141.191,77603,10960000.0,1725544980
33,2024-09-05 22:04:00,141.095,141.285,141.43,141.095,95098,13432640.0,1725545040
34,2024-09-05 22:05:00,141.38,141.12,141.38,141.12,156279,22083264.0,1725545100
35,2024-09-05 22:06:00,141.13,141.234,141.27,141.13,85295,12039040.0,1725545160
36,2024-09-05 22:07:00,141.36,141.33,141.36,141.212,82752,11690432.0,1725545220
37,2024-09-05 22:08:00,141.56,141.13,141.56,141.13,104327,14738304.0,1725545280
38,2024-09-05 22:09:00,141.19,141.625,141.625,141.19,118694,16782976.0,1725545340
39,2024-09-05 22:10:00,141.42,141.19,141.42,141.19,99589,14075648.0,1725545400
40,2024-09-05 22:11:00,141.175,140.86,141.175,140.86,125707,17731200.0,1725545460
41,2024-09-05 22:12:00,140.756,140.6,140.756,140.56,128704,18104576.0,1725545520
42,2024-09-05 22:13:00,140.625,140.65,140.704,140.55,105797,14881216.0,1725545580
43,2024-09-05 22:14:00,140.71,140.84,140.84,140.51,63529,8939456.0,1725545640
44,2024-09-05 22:15:00,140.66,140.47,140.66,140.455,82284,11568384.0,1725545700
45,2024-09-05 22:16:00,140.53,140.325,140.53,140.23,81352,11417536.0,1725545760
46,2024-09-05 22:17:00,140.49,140.5,140.5,140.38,63489,8913600.0,1725545820
47,2024-09-05 22:18:00,140.58,140.6,140.66,140.455,75070,10551872.0,1725545880
48,2024-09-05 22:19:00,140.66,140.72,140.774,140.66,56013,7883712.0,1725545940
49,2024-09-05 22:20:00,140.58,140.67,140.75,140.58,41609,5853376.0,1725546000
50,2024-09-05 22:21:00,140.85,141.08,141.08,140.85,75967,10702464.0,1725546060
51,2024-09-05 22:22:00,141.0,141.22,141.22,141.0,77159,10883456.0,1725546120
52,2024-09-05 22:23:00,141.21,141.26,141.3,141.168,74007,10450624.0,1725546180
53,2024-09-05 22:24:00,141.28,141.16,141.28,141.15,86568,12223360.0,1725546240
54,2024-09-05 22:25:00,141.1,141.22,141.38,141.1,81665,11535488.0,1725546300
55,2024-09-05 22:26:00,141.3,141.24,141.36,141.24,60215,8507136.0,1725546360
56,2024-09-05 22:27:00,141.14,141.27,141.27,141.135,48728,6878400.0,1725546420
57,2024-09-05 22:28:00,141.35,141.32,141.38,141.32,74402,10514560.0,1725546480
58,2024-09-05 22:29:00,141.3,141.314,141.33,141.26,67930,9598528.0,1725546540
59,2024-09-05 22:30:00,140.84,140.92,141.07,140.84,134388,18946176.0,1725546600
60,2024-09-05 22:31:00,140.89,141.09,141.09,140.89,82358,11609152.0,1725546660
61,2024-09-05 22:32:00,141.12,140.6,141.15,140.6,144272,20339136.0,1725546720
62,2024-09-05 22:33:00,140.71,140.66,140.71,140.59,76055,10698688.0,1725546780
63,2024-09-05 22:34:00,140.76,140.59,140.76,140.59,62120,8739264.0,1725546840
64,2024-09-05 22:35:00,140.49,140.76,140.76,140.49,60415,8494208.0,1725546900
65,2024-09-05 22:36:00,140.75,140.92,140.92,140.75,53863,7582528.0,1725546960
66,2024-09-05 22:37:00,140.82,140.69,140.82,140.66,31759,4468544.0,1725547020
