,dt,open,close,high,low,vol,ts
0,2022-11-07 22:31:00,68.68,68.84,69.38,67.73,974594,1667831460
1,2022-11-07 22:32:00,68.98,68.28,69.138,68.28,727657,1667831520
2,2022-11-07 22:33:00,68.47,68.081,68.47,68.081,182868,1667831580
3,2022-11-07 22:34:00,68.155,67.98,68.29,67.98,209909,1667831640
4,2022-11-07 22:35:00,67.888,68.28,68.28,67.888,216846,1667831700
5,2022-11-07 22:36:00,68.17,67.95,68.17,67.95,185106,1667831760
6,2022-11-07 22:37:00,67.97,67.815,67.97,67.815,203143,1667831820
7,2022-11-07 22:38:00,67.881,67.824,67.97,67.824,205390,1667831880
8,2022-11-07 22:39:00,67.75,67.51,67.815,67.51,220949,1667831940
9,2022-11-07 22:40:00,67.32,67.29,67.36,67.29,270482,1667832000
10,2022-11-07 22:41:00,67.363,67.63,67.63,67.361,183542,1667832060
11,2022-11-07 22:42:00,67.69,67.742,67.742,67.57,157281,1667832120
12,2022-11-07 22:43:00,67.67,67.298,67.67,67.298,197235,1667832180
13,2022-11-07 22:44:00,67.14,67.13,67.17,67.11,224325,1667832240
14,2022-11-07 22:45:00,67.248,67.1,67.248,67.09,202952,1667832300
15,2022-11-07 22:46:00,67.065,67.09,67.09,66.991,173088,1667832360
16,2022-11-07 22:47:00,67.14,67.34,67.34,67.14,157139,1667832420
17,2022-11-07 22:48:00,67.35,67.342,67.5,67.342,135871,1667832480
18,2022-11-07 22:49:00,67.434,67.58,67.64,67.434,167663,1667832540
19,2022-11-07 22:50:00,67.561,67.432,67.651,67.38,140703,1667832600
20,2022-11-07 22:51:00,67.42,67.26,67.43,67.24,123963,1667832660
21,2022-11-07 22:52:00,67.368,67.23,67.44,67.23,158395,1667832720
22,2022-11-07 22:53:00,67.13,66.695,67.13,66.695,411231,1667832780
23,2022-11-07 22:54:00,66.71,66.835,66.835,66.71,200987,1667832840
24,2022-11-07 22:55:00,66.86,66.9,66.9,66.845,134374,1667832900
25,2022-11-07 22:56:00,66.96,66.885,67.13,66.885,132325,1667832960
26,2022-11-07 22:57:00,66.95,67.07,67.07,66.91,111663,1667833020
27,2022-11-07 22:58:00,67.06,67.24,67.24,67.05,94792,1667833080
28,2022-11-07 22:59:00,67.4,67.36,67.45,67.35,157525,1667833140
29,2022-11-07 23:00:00,67.347,67.35,67.35,67.18,91588,1667833200
30,2022-11-07 23:01:00,67.49,67.435,67.59,67.31,211597,1667833260
31,2022-11-07 23:02:00,67.52,67.576,67.61,67.441,121158,1667833320
32,2022-11-07 23:03:00,67.646,67.62,67.728,67.47,163203,1667833380
33,2022-11-07 23:04:00,67.445,67.46,67.545,67.445,78262,1667833440
34,2022-11-07 23:05:00,67.43,67.55,67.55,67.43,135641,1667833500
35,2022-11-07 23:06:00,67.615,67.6,67.7,67.52,109100,1667833560
36,2022-11-07 23:07:00,67.595,67.505,67.595,67.46,93186,1667833620
37,2022-11-07 23:08:00,67.551,67.565,67.64,67.515,138469,1667833680
38,2022-11-07 23:09:00,67.505,67.545,67.63,67.505,82078,1667833740
39,2022-11-07 23:10:00,67.55,67.65,67.659,67.55,87495,1667833800
40,2022-11-07 23:11:00,67.6,67.491,67.68,67.491,117844,1667833860
41,2022-11-07 23:12:00,67.272,67.25,67.35,67.21,203505,1667833920
42,2022-11-07 23:13:00,67.24,67.29,67.29,67.195,88320,1667833980
43,2022-11-07 23:14:00,67.26,67.315,67.37,67.26,75863,1667834040
44,2022-11-07 23:15:00,67.36,67.535,67.535,67.34,114036,1667834100
45,2022-11-07 23:16:00,67.555,67.59,67.59,67.5,118438,1667834160
46,2022-11-07 23:17:00,67.59,67.51,67.59,67.49,104689,1667834220
47,2022-11-07 23:18:00,67.59,67.625,67.71,67.59,142422,1667834280
48,2022-11-07 23:19:00,67.71,67.69,67.75,67.69,121648,1667834340
49,2022-11-07 23:20:00,67.681,67.622,67.75,67.622,120271,1667834400
50,2022-11-07 23:21:00,67.513,67.52,67.62,67.511,99071,1667834460
51,2022-11-07 23:22:00,67.5,67.59,67.631,67.5,94366,1667834520
52,2022-11-07 23:23:00,67.55,67.288,67.55,67.286,116264,1667834580
53,2022-11-07 23:24:00,67.273,67.16,67.273,67.11,131136,1667834640
54,2022-11-07 23:25:00,67.19,67.03,67.19,66.955,117080,1667834700
55,2022-11-07 23:26:00,67.045,66.98,67.11,66.98,85313,1667834760
56,2022-11-07 23:27:00,67.05,67.03,67.05,66.97,66873,1667834820
57,2022-11-07 23:28:00,67.145,67.16,67.21,67.103,114576,1667834880
58,2022-11-07 23:29:00,67.2,67.15,67.2,67.095,64259,1667834940
59,2022-11-07 23:30:00,67.165,67.33,67.33,67.165,69099,1667835000
60,2022-11-07 23:31:00,67.315,67.357,67.357,67.18,91513,1667835060
61,2022-11-07 23:32:00,67.358,67.23,67.43,67.22,97142,1667835120
62,2022-11-07 23:33:00,67.215,67.315,67.315,67.215,43887,1667835180
63,2022-11-07 23:34:00,67.38,67.36,67.391,67.355,67569,1667835240
64,2022-11-07 23:35:00,67.345,67.42,67.441,67.345,80177,1667835300
65,2022-11-07 23:36:00,67.45,67.44,67.48,67.42,53574,1667835360
66,2022-11-07 23:37:00,67.39,67.32,67.39,67.28,46383,1667835420
67,2022-11-07 23:38:00,67.35,67.25,67.385,67.25,52354,1667835480
68,2022-11-07 23:39:00,67.265,67.2,67.281,67.2,43470,1667835540
69,2022-11-07 23:40:00,67.24,67.055,67.24,67.055,80133,1667835600
70,2022-11-07 23:41:00,67.129,67.198,67.24,67.11,69100,1667835660
71,2022-11-07 23:42:00,67.21,67.38,67.38,67.17,71331,1667835720
72,2022-11-07 23:43:00,67.38,67.33,67.45,67.325,67880,1667835780
73,2022-11-07 23:44:00,67.24,67.16,67.24,67.125,69367,1667835840
74,2022-11-07 23:45:00,67.19,67.37,67.37,67.19,43088,1667835900
75,2022-11-07 23:46:00,67.36,67.25,67.36,67.25,26610,1667835960
76,2022-11-07 23:47:00,67.32,67.325,67.325,67.24,44051,1667836020
77,2022-11-07 23:48:00,67.265,67.45,67.45,67.265,61443,1667836080
78,2022-11-07 23:49:00,67.337,67.23,67.337,67.193,125471,1667836140
79,2022-11-07 23:50:00,67.205,67.32,67.32,67.205,56998,1667836200
80,2022-11-07 23:51:00,67.34,67.42,67.42,67.34,122201,1667836260
81,2022-11-07 23:52:00,67.509,67.48,67.56,67.48,104055,1667836320
82,2022-11-07 23:53:00,67.51,67.51,67.63,67.51,48926,1667836380
83,2022-11-07 23:54:00,67.54,67.58,67.64,67.54,42118,1667836440
84,2022-11-07 23:55:00,67.57,67.61,67.667,67.566,47226,1667836500
85,2022-11-07 23:56:00,67.57,67.607,67.66,67.57,54930,1667836560
86,2022-11-07 23:57:00,67.55,67.42,67.55,67.42,55019,1667836620
87,2022-11-07 23:58:00,67.45,67.3,67.46,67.3,41566,1667836680
88,2022-11-07 23:59:00,67.34,67.4,67.4,67.33,33451,1667836740
89,2022-11-08 00:00:00,67.4,67.44,67.46,67.4,28449,1667836800
90,2022-11-08 00:01:00,67.425,67.303,67.48,67.303,43876,1667836860
91,2022-11-08 00:02:00,67.235,67.22,67.251,67.195,56486,1667836920
92,2022-11-08 00:03:00,67.26,67.26,67.28,67.2,35821,1667836980
93,2022-11-08 00:04:00,67.22,67.27,67.32,67.2,38485,1667837040
94,2022-11-08 00:05:00,67.27,67.25,67.27,67.19,49503,1667837100
95,2022-11-08 00:06:00,67.24,67.24,67.275,67.24,23712,1667837160
96,2022-11-08 00:07:00,67.21,67.25,67.25,67.12,116243,1667837220
97,2022-11-08 00:08:00,67.23,67.13,67.24,67.13,39054,1667837280
98,2022-11-08 00:09:00,67.09,67.04,67.09,66.98,121356,1667837340
99,2022-11-08 00:10:00,67.045,66.97,67.06,66.97,58652,1667837400
100,2022-11-08 00:11:00,66.955,66.77,66.955,66.77,89268,1667837460
101,2022-11-08 00:12:00,66.78,66.72,66.805,66.72,61795,1667837520
102,2022-11-08 00:13:00,66.718,66.815,66.815,66.718,57233,1667837580
103,2022-11-08 00:14:00,66.78,66.84,66.856,66.78,36103,1667837640
104,2022-11-08 00:15:00,66.85,66.77,66.85,66.76,32381,1667837700
105,2022-11-08 00:16:00,66.805,66.81,66.83,66.805,36564,1667837760
106,2022-11-08 00:17:00,66.81,66.86,66.9,66.81,37906,1667837820
107,2022-11-08 00:18:00,66.868,66.89,66.935,66.868,30647,1667837880
108,2022-11-08 00:19:00,66.86,66.76,66.86,66.725,60097,1667837940
109,2022-11-08 00:20:00,66.785,66.826,66.826,66.753,31547,1667838000
110,2022-11-08 00:21:00,66.84,66.935,66.977,66.8,72867,1667838060
111,2022-11-08 00:22:00,66.93,67.02,67.02,66.88,33166,1667838120
112,2022-11-08 00:23:00,67.05,67.06,67.08,67.04,35372,1667838180
113,2022-11-08 00:24:00,67.11,67.12,67.17,67.095,40578,1667838240
114,2022-11-08 00:25:00,67.17,67.204,67.204,67.17,68125,1667838300
115,2022-11-08 00:26:00,67.22,67.1,67.22,67.1,51301,1667838360
116,2022-11-08 00:27:00,67.09,67.295,67.3,67.09,242028,1667838420
117,2022-11-08 00:28:00,67.32,67.37,67.372,67.28,95869,1667838480
118,2022-11-08 00:29:00,67.31,67.3,67.339,67.3,117794,1667838540
119,2022-11-08 00:30:00,67.2,67.07,67.2,67.04,107392,1667838600
120,2022-11-08 00:31:00,67.06,66.975,67.06,66.975,75109,1667838660
121,2022-11-08 00:32:00,66.975,66.935,66.989,66.935,31520,1667838720
122,2022-11-08 00:33:00,66.98,66.937,66.98,66.92,41494,1667838780
123,2022-11-08 00:34:00,66.937,66.905,66.937,66.84,52070,1667838840
124,2022-11-08 00:35:00,66.9,66.82,66.9,66.82,50692,1667838900
125,2022-11-08 00:36:00,66.615,66.61,66.726,66.61,288873,1667838960
126,2022-11-08 00:37:00,66.6,66.56,66.612,66.52,106712,1667839020
127,2022-11-08 00:38:00,66.53,66.51,66.555,66.5,49197,1667839080
128,2022-11-08 00:39:00,66.52,66.668,66.668,66.505,56282,1667839140
129,2022-11-08 00:40:00,66.652,66.427,66.652,66.427,82732,1667839200
130,2022-11-08 00:41:00,66.47,66.42,66.47,66.42,81484,1667839260
131,2022-11-08 00:42:00,66.47,66.47,66.495,66.45,35691,1667839320
132,2022-11-08 00:43:00,66.44,66.345,66.519,66.345,116147,1667839380
133,2022-11-08 00:44:00,66.282,66.32,66.32,66.27,76854,1667839440
134,2022-11-08 00:45:00,66.28,66.255,66.3,66.255,50836,1667839500
135,2022-11-08 00:46:00,66.335,66.29,66.335,66.235,78945,1667839560
136,2022-11-08 00:47:00,66.27,66.31,66.31,66.27,49774,1667839620
137,2022-11-08 00:48:00,66.34,66.33,66.36,66.33,18235,1667839680
138,2022-11-08 00:49:00,66.31,66.308,66.37,66.308,15226,1667839740
139,2022-11-08 00:50:00,66.32,66.36,66.37,66.32,29505,1667839800
140,2022-11-08 00:51:00,66.39,66.35,66.4,66.325,31209,1667839860
141,2022-11-08 00:52:00,66.31,66.31,66.34,66.281,27365,1667839920
142,2022-11-08 00:53:00,66.318,66.23,66.318,66.23,51935,1667839980
143,2022-11-08 00:54:00,66.23,66.239,66.26,66.23,28893,1667840040
144,2022-11-08 00:55:00,66.32,66.3,66.321,66.28,28217,1667840100
145,2022-11-08 00:56:00,66.29,66.47,66.47,66.29,37979,1667840160
146,2022-11-08 00:57:00,66.46,66.36,66.46,66.36,40798,1667840220
147,2022-11-08 00:58:00,66.37,66.43,66.43,66.37,26051,1667840280
148,2022-11-08 00:59:00,66.45,66.44,66.45,66.41,36853,1667840340
149,2022-11-08 01:00:00,66.475,66.27,66.475,66.27,33704,1667840400
150,2022-11-08 01:01:00,66.34,66.261,66.36,66.261,38126,1667840460
151,2022-11-08 01:02:00,66.275,66.15,66.275,66.15,47644,1667840520
152,2022-11-08 01:03:00,66.11,66.25,66.25,66.08,61998,1667840580
153,2022-11-08 01:04:00,66.245,66.27,66.29,66.245,33668,1667840640
154,2022-11-08 01:05:00,66.29,66.19,66.29,66.19,23704,1667840700
155,2022-11-08 01:06:00,66.23,66.295,66.325,66.23,26499,1667840760
156,2022-11-08 01:07:00,66.26,66.31,66.33,66.248,29453,1667840820
157,2022-11-08 01:08:00,66.33,66.405,66.42,66.33,37966,1667840880
158,2022-11-08 01:09:00,66.42,66.49,66.51,66.4,29554,1667840940
159,2022-11-08 01:10:00,66.46,66.5,66.53,66.46,42680,1667841000
