,dt,open,close,high,low,vol,ts
0,2022-11-22 22:31:00,95.75,95.56,95.96,95.2,475643,1669127460
1,2022-11-22 22:32:00,95.53,95.53,95.53,95.382,73460,1669127520
2,2022-11-22 22:33:00,95.49,95.63,95.63,95.49,132601,1669127580
3,2022-11-22 22:34:00,95.66,95.4,95.66,95.35,74791,1669127640
4,2022-11-22 22:35:00,95.4,95.37,95.4,95.314,63056,1669127700
5,2022-11-22 22:36:00,95.48,95.49,95.51,95.39,57409,1669127760
6,2022-11-22 22:37:00,95.47,95.34,95.495,95.34,74337,1669127820
7,2022-11-22 22:38:00,95.36,95.22,95.37,95.22,71343,1669127880
8,2022-11-22 22:39:00,95.22,95.2,95.23,95.162,44364,1669127940
9,2022-11-22 22:40:00,95.3,95.114,95.3,95.114,69928,1669128000
10,2022-11-22 22:41:00,95.05,94.84,95.05,94.84,171283,1669128060
11,2022-11-22 22:42:00,94.895,94.67,94.895,94.61,95019,1669128120
12,2022-11-22 22:43:00,94.795,94.46,94.795,94.46,121675,1669128180
13,2022-11-22 22:44:00,94.5,94.56,94.56,94.5,110115,1669128240
14,2022-11-22 22:45:00,94.48,94.455,94.5,94.39,183547,1669128300
15,2022-11-22 22:46:00,94.449,94.46,94.46,94.33,116962,1669128360
16,2022-11-22 22:47:00,94.41,94.55,94.55,94.41,83082,1669128420
17,2022-11-22 22:48:00,94.49,94.39,94.49,94.39,56064,1669128480
18,2022-11-22 22:49:00,94.4,94.36,94.495,94.34,50129,1669128540
19,2022-11-22 22:50:00,94.38,94.425,94.44,94.34,51887,1669128600
20,2022-11-22 22:51:00,94.396,94.375,94.44,94.33,46059,1669128660
21,2022-11-22 22:52:00,94.375,94.28,94.375,94.28,143971,1669128720
22,2022-11-22 22:53:00,94.35,94.23,94.375,94.23,103247,1669128780
23,2022-11-22 22:54:00,94.235,94.07,94.235,94.07,178937,1669128840
24,2022-11-22 22:55:00,94.125,94.131,94.17,94.125,109885,1669128900
25,2022-11-22 22:56:00,94.11,94.14,94.165,94.11,112826,1669128960
26,2022-11-22 22:57:00,94.16,94.105,94.16,94.07,150057,1669129020
27,2022-11-22 22:58:00,94.14,94.12,94.15,94.09,135806,1669129080
28,2022-11-22 22:59:00,94.12,93.959,94.12,93.91,131646,1669129140
29,2022-11-22 23:00:00,93.97,93.905,93.97,93.9,106388,1669129200
30,2022-11-22 23:01:00,93.9,94.249,94.249,93.9,209737,1669129260
31,2022-11-22 23:02:00,94.21,94.29,94.306,94.21,125653,1669129320
32,2022-11-22 23:03:00,94.32,94.31,94.42,94.281,90535,1669129380
33,2022-11-22 23:04:00,94.28,94.25,94.28,94.18,41074,1669129440
34,2022-11-22 23:05:00,94.298,94.455,94.455,94.298,54994,1669129500
35,2022-11-22 23:06:00,94.445,94.51,94.565,94.445,52328,1669129560
36,2022-11-22 23:07:00,94.61,94.44,94.61,94.44,53248,1669129620
37,2022-11-22 23:08:00,94.45,94.47,94.47,94.425,46382,1669129680
38,2022-11-22 23:09:00,94.47,94.56,94.59,94.47,48716,1669129740
39,2022-11-22 23:10:00,94.65,94.67,94.67,94.61,73136,1669129800
40,2022-11-22 23:11:00,94.66,94.829,94.829,94.66,66118,1669129860
41,2022-11-22 23:12:00,94.81,94.75,94.81,94.75,72587,1669129920
42,2022-11-22 23:13:00,94.76,95.01,95.01,94.76,69546,1669129980
43,2022-11-22 23:14:00,94.96,94.935,94.96,94.91,62206,1669130040
44,2022-11-22 23:15:00,94.907,95.11,95.11,94.907,51760,1669130100
45,2022-11-22 23:16:00,95.14,95.035,95.14,95.0,65465,1669130160
46,2022-11-22 23:17:00,94.96,94.96,95.0,94.96,42273,1669130220
47,2022-11-22 23:18:00,95.0,94.97,95.03,94.97,41025,1669130280
48,2022-11-22 23:19:00,95.0,95.035,95.04,94.965,36838,1669130340
49,2022-11-22 23:20:00,95.03,95.077,95.1,95.02,42026,1669130400
50,2022-11-22 23:21:00,95.06,95.035,95.09,95.03,50543,1669130460
51,2022-11-22 23:22:00,94.96,94.97,94.98,94.914,51081,1669130520
52,2022-11-22 23:23:00,94.96,94.98,94.985,94.95,30656,1669130580
53,2022-11-22 23:24:00,94.99,94.929,94.99,94.929,47196,1669130640
54,2022-11-22 23:25:00,94.935,94.95,95.0,94.935,36723,1669130700
55,2022-11-22 23:26:00,94.958,94.955,94.965,94.95,27068,1669130760
56,2022-11-22 23:27:00,94.95,94.99,94.99,94.92,71003,1669130820
57,2022-11-22 23:28:00,95.06,95.14,95.149,95.06,43582,1669130880
58,2022-11-22 23:29:00,95.15,95.21,95.21,95.15,57271,1669130940
59,2022-11-22 23:30:00,95.208,95.215,95.22,95.182,40539,1669131000
60,2022-11-22 23:31:00,95.205,95.14,95.205,95.125,32151,1669131060
61,2022-11-22 23:32:00,95.14,95.07,95.195,95.07,46031,1669131120
62,2022-11-22 23:33:00,95.03,94.92,95.03,94.91,33473,1669131180
63,2022-11-22 23:34:00,94.93,95.044,95.044,94.93,25726,1669131240
64,2022-11-22 23:35:00,95.045,95.03,95.045,94.965,41080,1669131300
65,2022-11-22 23:36:00,95.03,95.07,95.08,95.03,35562,1669131360
66,2022-11-22 23:37:00,95.05,95.025,95.05,94.985,26188,1669131420
67,2022-11-22 23:38:00,95.03,94.965,95.03,94.965,23535,1669131480
68,2022-11-22 23:39:00,94.955,94.9,94.955,94.9,45688,1669131540
69,2022-11-22 23:40:00,94.961,94.795,94.961,94.795,59373,1669131600
70,2022-11-22 23:41:00,94.8,94.72,94.8,94.72,59905,1669131660
71,2022-11-22 23:42:00,94.69,94.775,94.78,94.69,61588,1669131720
72,2022-11-22 23:43:00,94.77,94.72,94.77,94.72,25910,1669131780
73,2022-11-22 23:44:00,94.71,94.83,94.83,94.71,60994,1669131840
74,2022-11-22 23:45:00,94.795,94.788,94.799,94.77,43335,1669131900
75,2022-11-22 23:46:00,94.785,94.84,94.87,94.785,33202,1669131960
76,2022-11-22 23:47:00,94.86,94.94,94.94,94.815,39184,1669132020
77,2022-11-22 23:48:00,94.935,95.21,95.21,94.935,105439,1669132080
