,dt,open,close,high,low,vol,turnover,ts
0,2024-03-13 21:31:00,138.8,139.065,139.17,137.67,740009,102786312.0,1710336660
1,2024-03-13 21:32:00,139.05,139.095,139.095,138.91,104750,14581688.0,1710336720
2,2024-03-13 21:33:00,138.985,139.369,139.369,138.96,133654,18627040.0,1710336780
3,2024-03-13 21:34:00,139.31,139.405,139.442,139.17,157986,22045504.0,1710336840
4,2024-03-13 21:35:00,139.47,139.546,139.63,139.45,136416,19066592.0,1710336900
5,2024-03-13 21:36:00,139.6,139.89,139.89,139.51,326151,45642064.0,1710336960
6,2024-03-13 21:37:00,139.77,139.94,140.001,139.77,130059,18218992.0,1710337020
7,2024-03-13 21:38:00,139.865,140.01,140.01,139.8,121496,17022192.0,1710337080
8,2024-03-13 21:39:00,139.96,139.96,139.978,139.896,64349,9019424.0,1710337140
9,2024-03-13 21:40:00,139.93,140.048,140.048,139.93,68934,9661872.0,1710337200
10,2024-03-13 21:41:00,140.12,139.91,140.12,139.87,107856,15121760.0,1710337260
11,2024-03-13 21:42:00,139.895,140.07,140.12,139.86,107456,15063328.0,1710337320
12,2024-03-13 21:43:00,140.085,140.26,140.268,140.085,187609,26334048.0,1710337380
13,2024-03-13 21:44:00,140.2,140.03,140.2,140.022,128296,18005760.0,1710337440
14,2024-03-13 21:45:00,140.07,139.84,140.077,139.813,99172,13897696.0,1710337500
15,2024-03-13 21:46:00,139.8,139.935,139.935,139.671,178808,25028192.0,1710337560
16,2024-03-13 21:47:00,139.94,139.84,139.94,139.78,69969,9799904.0,1710337620
17,2024-03-13 21:48:00,139.88,139.89,140.06,139.88,66729,9352736.0,1710337680
18,2024-03-13 21:49:00,139.88,139.86,139.91,139.845,41455,5807072.0,1710337740
19,2024-03-13 21:50:00,139.935,139.968,140.02,139.88,82154,11511872.0,1710337800
20,2024-03-13 21:51:00,139.94,139.865,139.95,139.865,56754,7952256.0,1710337860
21,2024-03-13 21:52:00,139.86,139.85,139.86,139.79,68035,9527456.0,1710337920
22,2024-03-13 21:53:00,139.93,140.108,140.108,139.93,100708,14119712.0,1710337980
23,2024-03-13 21:54:00,140.112,139.98,140.14,139.98,83909,11770624.0,1710338040
24,2024-03-13 21:55:00,139.931,139.87,139.931,139.86,63004,8825344.0,1710338100
25,2024-03-13 21:56:00,139.845,139.91,139.94,139.845,52996,7424128.0,1710338160
26,2024-03-13 21:57:00,139.905,139.87,139.96,139.87,41949,5877728.0,1710338220
27,2024-03-13 21:58:00,139.88,139.87,139.88,139.805,23493,3289888.0,1710338280
28,2024-03-13 21:59:00,139.87,139.87,139.929,139.87,37125,5200544.0,1710338340
29,2024-03-13 22:00:00,139.86,139.71,139.882,139.7,47702,6677088.0,1710338400
30,2024-03-13 22:01:00,139.69,139.43,139.69,139.38,113761,15896800.0,1710338460
31,2024-03-13 22:02:00,139.418,139.53,139.53,139.381,49939,6970720.0,1710338520
32,2024-03-13 22:03:00,139.52,139.435,139.52,139.37,82676,11542720.0,1710338580
33,2024-03-13 22:04:00,139.43,139.36,139.43,139.33,43527,6072576.0,1710338640
34,2024-03-13 22:05:00,139.38,139.455,139.48,139.345,48895,6825664.0,1710338700
35,2024-03-13 22:06:00,139.395,139.37,139.49,139.37,111842,15612992.0,1710338760
36,2024-03-13 22:07:00,139.365,139.56,139.56,139.365,82752,11557504.0,1710338820
37,2024-03-13 22:08:00,139.51,139.5,139.51,139.45,32938,4598336.0,1710338880
38,2024-03-13 22:09:00,139.55,139.49,139.55,139.445,40663,5678464.0,1710338940
39,2024-03-13 22:10:00,139.43,139.675,139.675,139.43,45247,6321472.0,1710339000
40,2024-03-13 22:11:00,139.62,139.61,139.66,139.61,122954,17192768.0,1710339060
41,2024-03-13 22:12:00,139.63,139.845,139.845,139.61,65804,9208192.0,1710339120
42,2024-03-13 22:13:00,139.89,139.978,139.98,139.89,88108,12347264.0,1710339180
43,2024-03-13 22:14:00,139.97,139.87,139.97,139.87,73283,10269184.0,1710339240
44,2024-03-13 22:15:00,139.93,139.885,139.93,139.865,39878,5586816.0,1710339300
45,2024-03-13 22:16:00,139.85,139.88,139.885,139.815,48858,6843008.0,1710339360
46,2024-03-13 22:17:00,139.88,139.81,139.881,139.81,31156,4363456.0,1710339420
47,2024-03-13 22:18:00,139.88,139.845,139.88,139.845,48635,6812672.0,1710339480
48,2024-03-13 22:19:00,139.77,139.815,139.825,139.77,44086,6173440.0,1710339540
49,2024-03-13 22:20:00,139.875,140.03,140.073,139.875,55399,7765504.0,1710339600
50,2024-03-13 22:21:00,140.03,140.03,140.035,140.0,28167,3948416.0,1710339660
51,2024-03-13 22:22:00,140.025,140.028,140.04,140.0,32680,4582208.0,1710339720
52,2024-03-13 22:23:00,140.01,139.9,140.01,139.85,47686,6678144.0,1710339780
53,2024-03-13 22:24:00,139.85,139.88,139.9,139.82,31199,4365504.0,1710339840
54,2024-03-13 22:25:00,139.89,139.85,139.9,139.85,39222,5489728.0,1710339900
55,2024-03-13 22:26:00,139.9,139.81,139.9,139.81,25654,3587328.0,1710339960
56,2024-03-13 22:27:00,139.87,139.768,139.875,139.768,31038,4340480.0,1710340020
57,2024-03-13 22:28:00,139.72,139.79,139.81,139.69,47346,6622400.0,1710340080
