,dt,open,close,high,low,vol,ts
0,2021-08-13 21:31:00,281.47,282.08,282.23,280.69,457342,1628861460
1,2021-08-13 21:32:00,282.17,282.223,282.483,282.17,168703,1628861520
2,2021-08-13 21:33:00,282.2,281.93,282.2,281.715,100146,1628861580
3,2021-08-13 21:34:00,282.112,281.955,282.19,281.955,71315,1628861640
4,2021-08-13 21:35:00,282.14,282.22,282.22,282.02,48455,1628861700
5,2021-08-13 21:36:00,282.28,281.89,282.28,281.89,80928,1628861760
6,2021-08-13 21:37:00,281.99,282.08,282.155,281.99,65211,1628861820
7,2021-08-13 21:38:00,282.082,281.98,282.13,281.98,47653,1628861880
8,2021-08-13 21:39:00,281.87,281.79,281.95,281.79,80235,1628861940
9,2021-08-13 21:40:00,281.72,281.78,282.05,281.72,59382,1628862000
10,2021-08-13 21:41:00,281.8,281.82,281.82,281.62,89421,1628862060
11,2021-08-13 21:42:00,281.9,282.031,282.031,281.9,50438,1628862120
12,2021-08-13 21:43:00,281.997,282.33,282.38,281.93,63834,1628862180
13,2021-08-13 21:44:00,282.31,282.13,282.31,282.13,45526,1628862240
14,2021-08-13 21:45:00,282.0,282.05,282.1,282.0,27320,1628862300
15,2021-08-13 21:46:00,282.25,282.455,282.455,282.19,84439,1628862360
16,2021-08-13 21:47:00,282.49,282.465,282.5,282.42,93560,1628862420
17,2021-08-13 21:48:00,282.49,282.38,282.49,282.38,44323,1628862480
18,2021-08-13 21:49:00,282.47,282.476,282.5,282.43,44706,1628862540
19,2021-08-13 21:50:00,282.46,282.55,282.62,282.46,64280,1628862600
20,2021-08-13 21:51:00,282.65,282.641,282.8,282.641,96444,1628862660
21,2021-08-13 21:52:00,282.64,282.796,282.9,282.64,81093,1628862720
22,2021-08-13 21:53:00,282.795,282.72,282.83,282.67,55164,1628862780
23,2021-08-13 21:54:00,282.68,282.65,282.68,282.59,39675,1628862840
24,2021-08-13 21:55:00,282.73,282.82,282.87,282.73,45125,1628862900
25,2021-08-13 21:56:00,282.88,282.7,282.88,282.7,54906,1628862960
26,2021-08-13 21:57:00,282.62,282.52,282.62,282.48,3048901,1628863020
27,2021-08-13 21:58:00,282.42,282.63,282.63,282.42,38717,1628863080
28,2021-08-13 21:59:00,282.625,282.68,282.785,282.625,49942,1628863140
29,2021-08-13 22:00:00,282.655,282.63,282.77,282.63,35728,1628863200
30,2021-08-13 22:01:00,282.71,282.805,282.84,282.62,55464,1628863260
31,2021-08-13 22:02:00,282.77,282.52,282.77,282.52,46849,1628863320
32,2021-08-13 22:03:00,282.5,282.42,282.5,282.305,38830,1628863380
33,2021-08-13 22:04:00,282.252,282.52,282.52,282.252,49413,1628863440
34,2021-08-13 22:05:00,282.6,282.76,282.775,282.6,75942,1628863500
35,2021-08-13 22:06:00,282.84,283.0,283.08,282.84,99958,1628863560
36,2021-08-13 22:07:00,283.04,283.08,283.239,282.89,55669,1628863620
37,2021-08-13 22:08:00,283.07,282.94,283.07,282.93,32511,1628863680
38,2021-08-13 22:09:00,282.91,282.99,283.02,282.91,38966,1628863740
39,2021-08-13 22:10:00,282.96,283.04,283.06,282.96,29207,1628863800
40,2021-08-13 22:11:00,283.1,282.93,283.1,282.825,41671,1628863860
41,2021-08-13 22:12:00,282.99,283.073,283.1,282.99,39263,1628863920
42,2021-08-13 22:13:00,283.117,283.3,283.3,283.055,56679,1628863980
43,2021-08-13 22:14:00,283.32,283.28,283.32,283.23,44158,1628864040
44,2021-08-13 22:15:00,283.245,283.38,283.38,283.21,50285,1628864100
45,2021-08-13 22:16:00,283.41,283.56,283.57,283.41,78089,1628864160
