,dt,open,close,high,low,vol,ts
0,2024-01-17 22:31:00,56.306,56.163,56.734,56.009,1923463,1705501860
1,2024-01-17 22:32:00,56.089,55.905,56.1,55.788,663905,1705501920
2,2024-01-17 22:33:00,55.868,55.456,55.868,55.456,543975,1705501980
3,2024-01-17 22:34:00,55.609,55.647,55.647,55.49,416300,1705502040
4,2024-01-17 22:35:00,55.579,55.446,55.579,55.446,370498,1705502100
5,2024-01-17 22:36:00,55.424,55.454,55.515,55.424,288510,1705502160
6,2024-01-17 22:37:00,55.49,55.431,55.49,55.403,334265,1705502220
7,2024-01-17 22:38:00,55.39,55.543,55.543,55.319,376095,1705502280
8,2024-01-17 22:39:00,55.636,55.526,55.636,55.526,317715,1705502340
9,2024-01-17 22:40:00,55.57,55.568,55.574,55.519,210920,1705502400
10,2024-01-17 22:41:00,55.536,55.608,55.673,55.536,322629,1705502460
11,2024-01-17 22:42:00,55.652,55.727,55.727,55.652,226784,1705502520
12,2024-01-17 22:43:00,55.78,55.649,55.78,55.649,202946,1705502580
13,2024-01-17 22:44:00,55.642,55.544,55.642,55.494,207965,1705502640
14,2024-01-17 22:45:00,55.535,55.456,55.535,55.394,257198,1705502700
15,2024-01-17 22:46:00,55.425,55.44,55.475,55.425,175311,1705502760
16,2024-01-17 22:47:00,55.407,55.292,55.407,55.261,321105,1705502820
17,2024-01-17 22:48:00,55.308,55.173,55.308,55.173,341492,1705502880
18,2024-01-17 22:49:00,55.12,55.12,55.168,55.109,316785,1705502940
19,2024-01-17 22:50:00,55.142,55.213,55.213,55.127,281164,1705503000
20,2024-01-17 22:51:00,55.145,55.153,55.153,55.105,245542,1705503060
21,2024-01-17 22:52:00,55.136,55.111,55.14,55.1,188666,1705503120
22,2024-01-17 22:53:00,55.06,55.053,55.06,55.008,310140,1705503180
23,2024-01-17 22:54:00,55.043,55.091,55.126,55.023,269464,1705503240
24,2024-01-17 22:55:00,55.054,54.959,55.054,54.959,419083,1705503300
25,2024-01-17 22:56:00,54.993,55.056,55.056,54.993,291563,1705503360
26,2024-01-17 22:57:00,55.075,55.053,55.126,55.053,221675,1705503420
27,2024-01-17 22:58:00,55.012,54.987,55.039,54.987,199850,1705503480
28,2024-01-17 22:59:00,54.965,55.045,55.045,54.939,337974,1705503540
29,2024-01-17 23:00:00,54.993,54.944,54.993,54.944,137676,1705503600
30,2024-01-17 23:01:00,54.9,54.777,54.9,54.777,438533,1705503660
31,2024-01-17 23:02:00,54.814,54.801,54.85,54.791,230443,1705503720
32,2024-01-17 23:03:00,54.805,54.825,54.858,54.805,225718,1705503780
33,2024-01-17 23:04:00,54.706,54.926,54.926,54.706,363722,1705503840
34,2024-01-17 23:05:00,54.938,54.98,54.98,54.929,297597,1705503900
35,2024-01-17 23:06:00,54.977,54.924,54.992,54.924,247121,1705503960
36,2024-01-17 23:07:00,54.963,55.07,55.07,54.963,259491,1705504020
37,2024-01-17 23:08:00,55.042,55.13,55.13,55.042,365594,1705504080
38,2024-01-17 23:09:00,55.106,55.12,55.125,55.066,227557,1705504140
39,2024-01-17 23:10:00,55.127,55.104,55.172,55.104,513654,1705504200
40,2024-01-17 23:11:00,55.07,55.0,55.07,54.994,167890,1705504260
41,2024-01-17 23:12:00,55.05,55.132,55.132,55.019,149708,1705504320
42,2024-01-17 23:13:00,55.169,55.202,55.202,55.169,236154,1705504380
43,2024-01-17 23:14:00,55.192,55.259,55.259,55.192,242465,1705504440
