,dt,open,close,high,low,vol,turnover,ts
0,2023-11-30 22:31:00,142.44,140.82,143.35,140.38,528665,75126752.0,1701354660
1,2023-11-30 22:32:00,140.745,140.94,140.94,140.56,95713,13477888.0,1701354720
2,2023-11-30 22:33:00,140.925,140.82,140.925,140.82,50117,7061984.0,1701354780
3,2023-11-30 22:34:00,140.91,141.545,141.545,140.9,56807,8020864.0,1701354840
4,2023-11-30 22:35:00,141.56,141.42,141.58,141.38,54021,7645008.0,1701354900
5,2023-11-30 22:36:00,141.56,141.53,141.92,141.53,45627,6466640.0,1701354960
6,2023-11-30 22:37:00,141.225,141.31,141.67,141.225,38221,5407136.0,1701355020
7,2023-11-30 22:38:00,141.3,141.15,141.3,141.07,29968,4231464.0,1701355080
8,2023-11-30 22:39:00,141.06,140.832,141.06,140.832,31019,4375024.0,1701355140
9,2023-11-30 22:40:00,140.89,140.79,140.89,140.69,33496,4716264.0,1701355200
10,2023-11-30 22:41:00,140.865,140.495,140.89,140.495,38314,5393232.0,1701355260
11,2023-11-30 22:42:00,140.47,140.21,140.47,140.21,48416,6795312.0,1701355320
12,2023-11-30 22:43:00,140.04,140.11,140.11,139.89,51778,7250944.0,1701355380
13,2023-11-30 22:44:00,140.188,140.355,140.355,140.06,50344,7053840.0,1701355440
14,2023-11-30 22:45:00,140.37,140.645,140.645,140.37,26911,3781056.0,1701355500
15,2023-11-30 22:46:00,140.75,140.755,140.91,140.741,109391,15403760.0,1701355560
16,2023-11-30 22:47:00,140.64,140.725,140.78,140.64,28397,3996320.0,1701355620
17,2023-11-30 22:48:00,140.65,140.905,140.905,140.58,39017,5492976.0,1701355680
18,2023-11-30 22:49:00,140.89,141.335,141.335,140.89,39773,5611344.0,1701355740
19,2023-11-30 22:50:00,141.45,141.71,141.71,141.45,39287,5561680.0,1701355800
20,2023-11-30 22:51:00,141.93,142.5,142.5,141.93,42545,6046656.0,1701355860
21,2023-11-30 22:52:00,142.77,142.87,142.975,142.77,166272,23760336.0,1701355920
22,2023-11-30 22:53:00,142.82,143.115,143.115,142.57,70123,10015680.0,1701355980
23,2023-11-30 22:54:00,143.1,142.98,143.15,142.935,35567,5085760.0,1701356040
24,2023-11-30 22:55:00,142.94,143.239,143.24,142.94,56855,8138880.0,1701356100
25,2023-11-30 22:56:00,143.42,143.77,143.77,143.42,52237,7497344.0,1701356160
26,2023-11-30 22:57:00,143.96,143.89,144.07,143.88,75424,10857248.0,1701356220
27,2023-11-30 22:58:00,143.875,143.792,144.02,143.672,43539,6264288.0,1701356280
28,2023-11-30 22:59:00,143.97,143.755,143.97,143.745,32575,4684704.0,1701356340
29,2023-11-30 23:00:00,143.69,143.73,143.86,143.69,45249,6506080.0,1701356400
30,2023-11-30 23:01:00,143.685,143.79,143.79,143.6,47029,6757024.0,1701356460
31,2023-11-30 23:02:00,143.89,143.9,143.94,143.8,54325,7815008.0,1701356520
32,2023-11-30 23:03:00,143.66,143.15,143.66,143.15,38522,5525312.0,1701356580
33,2023-11-30 23:04:00,143.105,143.44,143.44,142.94,41933,6001696.0,1701356640
34,2023-11-30 23:05:00,143.34,143.48,143.57,143.34,23845,3421184.0,1701356700
35,2023-11-30 23:06:00,143.54,143.78,143.796,143.54,49623,7126944.0,1701356760
36,2023-11-30 23:07:00,143.94,144.185,144.185,143.8,57664,8301312.0,1701356820
37,2023-11-30 23:08:00,143.97,144.249,144.28,143.97,61946,8931680.0,1701356880
38,2023-11-30 23:09:00,144.26,144.359,144.359,144.15,66169,9545280.0,1701356940
39,2023-11-30 23:10:00,144.383,144.64,144.64,144.383,71029,10263968.0,1701357000
40,2023-11-30 23:11:00,144.69,144.99,144.99,144.69,120608,17459040.0,1701357060
41,2023-11-30 23:12:00,144.95,144.87,144.95,144.82,39455,5717920.0,1701357120
42,2023-11-30 23:13:00,144.91,144.94,145.02,144.91,161974,23483616.0,1701357180
43,2023-11-30 23:14:00,145.0,144.887,145.0,144.887,68586,9942592.0,1701357240
44,2023-11-30 23:15:00,144.92,144.91,144.99,144.865,63809,9246176.0,1701357300
45,2023-11-30 23:16:00,144.93,144.86,144.995,144.86,87352,12664864.0,1701357360
46,2023-11-30 23:17:00,145.0,144.9,145.0,144.9,56505,8191072.0,1701357420
47,2023-11-30 23:18:00,144.855,144.96,144.96,144.855,30686,4447040.0,1701357480
48,2023-11-30 23:19:00,144.96,145.01,145.145,144.96,112161,16268512.0,1701357540
49,2023-11-30 23:20:00,144.98,144.66,144.98,144.66,41722,6044288.0,1701357600
50,2023-11-30 23:21:00,144.71,145.03,145.03,144.71,57436,8321152.0,1701357660
51,2023-11-30 23:22:00,145.07,145.08,145.12,145.019,37490,5439488.0,1701357720
52,2023-11-30 23:23:00,145.17,145.47,145.47,145.17,53660,7796288.0,1701357780
53,2023-11-30 23:24:00,145.45,145.355,145.45,145.355,50075,7282816.0,1701357840
54,2023-11-30 23:25:00,145.35,145.375,145.375,145.29,36219,5263776.0,1701357900
55,2023-11-30 23:26:00,145.48,145.8,145.9,145.48,129503,18875584.0,1701357960
56,2023-11-30 23:27:00,145.82,145.84,145.91,145.78,54075,7887872.0,1701358020
57,2023-11-30 23:28:00,145.89,145.94,146.04,145.89,115887,16917568.0,1701358080
58,2023-11-30 23:29:00,146.0,146.23,146.23,146.0,48509,7084288.0,1701358140
59,2023-11-30 23:30:00,146.36,146.39,146.55,146.36,82966,12148928.0,1701358200
60,2023-11-30 23:31:00,146.37,146.335,146.46,146.26,77532,11350144.0,1701358260
61,2023-11-30 23:32:00,146.355,145.63,146.355,145.63,53375,7793664.0,1701358320
62,2023-11-30 23:33:00,145.706,145.329,145.706,145.329,39815,5798592.0,1701358380
63,2023-11-30 23:34:00,145.285,145.09,145.285,145.09,55749,8095040.0,1701358440
64,2023-11-30 23:35:00,145.05,145.16,145.16,144.89,62035,8993088.0,1701358500
65,2023-11-30 23:36:00,145.13,145.305,145.305,145.13,29241,4244544.0,1701358560
66,2023-11-30 23:37:00,145.39,145.07,145.41,145.07,36249,5265024.0,1701358620
67,2023-11-30 23:38:00,145.135,144.95,145.175,144.95,52305,7591360.0,1701358680
68,2023-11-30 23:39:00,144.97,144.96,145.115,144.96,16384,2376128.0,1701358740
69,2023-11-30 23:40:00,144.95,144.8,145.005,144.8,29782,4314368.0,1701358800
70,2023-11-30 23:41:00,144.62,144.64,144.72,144.62,26239,3795904.0,1701358860
71,2023-11-30 23:42:00,144.755,144.76,144.76,144.71,32570,4713536.0,1701358920
72,2023-11-30 23:43:00,144.79,144.51,144.79,144.51,50736,7337984.0,1701358980
73,2023-11-30 23:44:00,144.5,144.54,144.665,144.5,24849,3593024.0,1701359040
74,2023-11-30 23:45:00,144.65,144.66,144.7,144.56,13985,2022784.0,1701359100
75,2023-11-30 23:46:00,144.75,144.54,144.75,144.54,91748,13283520.0,1701359160
76,2023-11-30 23:47:00,144.56,144.54,144.56,144.51,16630,2404416.0,1701359220
77,2023-11-30 23:48:00,144.63,144.57,144.64,144.5,36727,5310656.0,1701359280
78,2023-11-30 23:49:00,144.57,144.56,144.57,144.5,42144,6093184.0,1701359340
79,2023-11-30 23:50:00,144.7,144.87,144.975,144.7,32085,4646400.0,1701359400
80,2023-11-30 23:51:00,144.79,144.79,144.85,144.72,25055,3627520.0,1701359460
81,2023-11-30 23:52:00,144.77,144.52,144.77,144.485,21360,3089280.0,1701359520
82,2023-11-30 23:53:00,144.56,144.42,144.56,144.4,30895,4464512.0,1701359580
83,2023-11-30 23:54:00,144.39,144.56,144.56,144.39,15503,2240128.0,1701359640
84,2023-11-30 23:55:00,144.5,144.56,144.56,144.495,18950,2739200.0,1701359700
85,2023-11-30 23:56:00,144.64,144.678,144.76,144.64,22382,3237952.0,1701359760
86,2023-11-30 23:57:00,144.71,144.825,144.825,144.71,18819,2723328.0,1701359820
87,2023-11-30 23:58:00,144.8,144.77,144.8,144.685,10474,1516544.0,1701359880
88,2023-11-30 23:59:00,144.8,144.78,144.8,144.755,15986,2314048.0,1701359940
89,2023-12-01 00:00:00,144.76,144.91,144.91,144.76,17212,2492352.0,1701360000
90,2023-12-01 00:01:00,144.95,144.75,144.95,144.75,12995,1883136.0,1701360060
91,2023-12-01 00:02:00,144.85,145.075,145.08,144.85,22032,3194048.0,1701360120
92,2023-12-01 00:03:00,145.055,145.02,145.055,145.02,5632,816832.0,1701360180
93,2023-12-01 00:04:00,145.05,144.83,145.07,144.83,10068,1460352.0,1701360240
94,2023-12-01 00:05:00,144.68,144.7,144.74,144.645,34781,5031552.0,1701360300
95,2023-12-01 00:06:00,144.76,144.925,144.925,144.76,15248,2208128.0,1701360360
96,2023-12-01 00:07:00,145.0,144.995,145.13,144.99,17307,2510656.0,1701360420
97,2023-12-01 00:08:00,145.23,145.195,145.29,145.18,29211,4243136.0,1701360480
98,2023-12-01 00:09:00,145.195,145.18,145.31,145.18,14795,2149312.0,1701360540
99,2023-12-01 00:10:00,145.12,144.98,145.12,144.96,36473,5289152.0,1701360600
100,2023-12-01 00:11:00,144.935,144.865,144.975,144.85,18463,2676352.0,1701360660
101,2023-12-01 00:12:00,144.915,145.01,145.03,144.915,21691,3145792.0,1701360720
