,dt,open,close,high,low,vol,turnover,ts
0,2024-05-03 21:31:00,433.678,433.458,433.738,428.478,2107612,912834560.0,1714743060
1,2024-05-03 21:32:00,433.493,433.148,433.493,433.148,394589,171305472.0,1714743120
2,2024-05-03 21:33:00,433.308,433.108,433.448,433.108,345976,150160640.0,1714743180
3,2024-05-03 21:34:00,433.038,433.038,433.068,432.768,251790,109217280.0,1714743240
4,2024-05-03 21:35:00,433.188,433.238,433.238,433.088,220578,95715200.0,1714743300
5,2024-05-03 21:36:00,433.138,433.198,433.198,432.968,203066,88093568.0,1714743360
6,2024-05-03 21:37:00,433.328,433.188,433.328,433.188,197374,85660288.0,1714743420
7,2024-05-03 21:38:00,433.503,433.248,433.503,433.248,201032,87262336.0,1714743480
8,2024-05-03 21:39:00,433.068,433.358,433.433,433.068,198895,86321408.0,1714743540
9,2024-05-03 21:40:00,433.338,433.058,433.338,433.058,172988,75059968.0,1714743600
10,2024-05-03 21:41:00,433.148,433.558,433.583,433.148,228123,99030400.0,1714743660
11,2024-05-03 21:42:00,433.608,433.598,433.753,433.598,602590,258668416.0,1714743720
12,2024-05-03 21:43:00,433.758,433.826,433.983,433.758,409066,177799168.0,1714743780
13,2024-05-03 21:44:00,433.918,433.753,433.918,433.753,237879,103393024.0,1714743840
14,2024-05-03 21:45:00,433.848,433.978,433.998,433.848,559150,239852800.0,1714743900
15,2024-05-03 21:46:00,434.388,434.388,434.488,434.388,390892,170103808.0,1714743960
16,2024-05-03 21:47:00,434.228,434.658,434.698,434.228,400822,174486528.0,1714744020
17,2024-05-03 21:48:00,434.768,434.488,434.768,434.488,171148,74518272.0,1714744080
18,2024-05-03 21:49:00,434.648,434.598,434.648,434.528,125166,54493696.0,1714744140
19,2024-05-03 21:50:00,434.458,434.578,434.578,434.448,130166,56664832.0,1714744200
20,2024-05-03 21:51:00,434.573,434.428,434.573,434.388,152842,66520832.0,1714744260
21,2024-05-03 21:52:00,434.218,434.473,434.473,434.218,135835,59105024.0,1714744320
22,2024-05-03 21:53:00,434.508,434.528,434.673,434.508,115403,50239744.0,1714744380
23,2024-05-03 21:54:00,434.648,434.898,434.908,434.648,307542,133968384.0,1714744440
24,2024-05-03 21:55:00,434.848,434.838,434.848,434.798,109175,47552000.0,1714744500
25,2024-05-03 21:56:00,435.038,434.783,435.038,434.783,206489,89944576.0,1714744560
26,2024-05-03 21:57:00,434.708,435.003,435.028,434.708,90443,39400704.0,1714744620
