,dt,open,close,high,low,vol,ts
0,2022-07-08 21:31:00,26.037,25.995,26.747,25.587,11074259,1657287060
1,2022-07-08 21:32:00,25.907,26.106,26.106,25.897,1257664,1657287120
2,2022-07-08 21:33:00,26.037,26.037,26.172,26.037,1299921,1657287180
3,2022-07-08 21:34:00,26.137,26.127,26.137,26.007,781127,1657287240
4,2022-07-08 21:35:00,26.106,26.187,26.187,26.077,720179,1657287300
5,2022-07-08 21:36:00,26.188,26.127,26.267,26.127,1243686,1657287360
6,2022-07-08 21:37:00,26.121,26.246,26.246,26.082,1043452,1657287420
7,2022-07-08 21:38:00,26.212,26.267,26.267,26.197,1045652,1657287480
8,2022-07-08 21:39:00,26.207,26.318,26.318,26.205,870496,1657287540
9,2022-07-08 21:40:00,26.407,26.382,26.407,26.357,988388,1657287600
10,2022-07-08 21:41:00,26.407,26.327,26.407,26.327,1193976,1657287660
11,2022-07-08 21:42:00,26.33,26.487,26.487,26.315,1022452,1657287720
12,2022-07-08 21:43:00,26.498,26.497,26.517,26.436,1205192,1657287780
13,2022-07-08 21:44:00,26.491,26.471,26.499,26.467,880320,1657287840
14,2022-07-08 21:45:00,26.442,26.377,26.457,26.377,1213752,1657287900
15,2022-07-08 21:46:00,26.348,26.341,26.423,26.292,717732,1657287960
16,2022-07-08 21:47:00,26.337,26.236,26.337,26.227,715076,1657288020
17,2022-07-08 21:48:00,26.277,26.197,26.327,26.197,732944,1657288080
18,2022-07-08 21:49:00,26.152,26.183,26.207,26.137,734760,1657288140
19,2022-07-08 21:50:00,26.147,26.037,26.147,26.032,928132,1657288200
20,2022-07-08 21:51:00,26.008,25.867,26.052,25.867,1035100,1657288260
21,2022-07-08 21:52:00,25.878,25.862,25.907,25.842,987796,1657288320
22,2022-07-08 21:53:00,25.867,25.922,25.927,25.867,568772,1657288380
23,2022-07-08 21:54:00,25.817,25.857,25.872,25.777,671096,1657288440
24,2022-07-08 21:55:00,25.858,25.887,25.917,25.858,387630,1657288500
25,2022-07-08 21:56:00,25.877,25.917,25.927,25.877,448082,1657288560
26,2022-07-08 21:57:00,25.917,25.914,25.917,25.886,378116,1657288620
27,2022-07-08 21:58:00,25.927,25.995,25.995,25.902,559148,1657288680
28,2022-07-08 21:59:00,26.027,26.027,26.047,26.007,742592,1657288740
29,2022-07-08 22:00:00,26.005,25.947,26.005,25.917,573288,1657288800
30,2022-07-08 22:01:00,25.887,25.826,25.887,25.817,733924,1657288860
31,2022-07-08 22:02:00,25.857,25.953,25.953,25.857,486300,1657288920
32,2022-07-08 22:03:00,25.962,25.967,26.019,25.962,473252,1657288980
33,2022-07-08 22:04:00,26.002,26.117,26.117,25.987,504496,1657289040
34,2022-07-08 22:05:00,26.107,26.167,26.167,26.057,650800,1657289100
35,2022-07-08 22:06:00,26.112,26.052,26.112,26.052,413400,1657289160
36,2022-07-08 22:07:00,26.028,26.097,26.097,26.028,357164,1657289220
37,2022-07-08 22:08:00,26.057,26.027,26.057,25.967,381860,1657289280
38,2022-07-08 22:09:00,26.007,26.047,26.047,25.997,241804,1657289340
39,2022-07-08 22:10:00,26.085,26.095,26.107,26.067,292676,1657289400
40,2022-07-08 22:11:00,26.057,26.104,26.118,26.027,411280,1657289460
41,2022-07-08 22:12:00,26.106,26.262,26.262,26.106,578868,1657289520
42,2022-07-08 22:13:00,26.272,26.283,26.283,26.216,541804,1657289580
43,2022-07-08 22:14:00,26.312,26.322,26.352,26.312,669512,1657289640
44,2022-07-08 22:15:00,26.302,26.327,26.327,26.292,465528,1657289700
45,2022-07-08 22:16:00,26.331,26.292,26.352,26.292,514396,1657289760
46,2022-07-08 22:17:00,26.337,26.347,26.378,26.337,588828,1657289820
47,2022-07-08 22:18:00,26.326,26.328,26.355,26.326,341052,1657289880
48,2022-07-08 22:19:00,26.332,26.327,26.342,26.327,243452,1657289940
49,2022-07-08 22:20:00,26.337,26.277,26.337,26.277,437144,1657290000
50,2022-07-08 22:21:00,26.287,26.225,26.287,26.225,729880,1657290060
51,2022-07-08 22:22:00,26.286,26.315,26.317,26.282,396392,1657290120
52,2022-07-08 22:23:00,26.315,26.267,26.317,26.267,263528,1657290180
53,2022-07-08 22:24:00,26.272,26.372,26.372,26.272,340076,1657290240
54,2022-07-08 22:25:00,26.387,26.445,26.462,26.387,833060,1657290300
55,2022-07-08 22:26:00,26.45,26.536,26.536,26.447,785304,1657290360
56,2022-07-08 22:27:00,26.552,26.61,26.625,26.552,913400,1657290420
57,2022-07-08 22:28:00,26.617,26.712,26.737,26.597,985888,1657290480
58,2022-07-08 22:29:00,26.702,26.718,26.747,26.702,1010996,1657290540
59,2022-07-08 22:30:00,26.687,26.713,26.713,26.657,837920,1657290600
60,2022-07-08 22:31:00,26.696,26.772,26.772,26.696,665984,1657290660
61,2022-07-08 22:32:00,26.777,26.802,26.826,26.777,723296,1657290720
62,2022-07-08 22:33:00,26.777,26.747,26.792,26.747,525656,1657290780
63,2022-07-08 22:34:00,26.722,26.795,26.795,26.722,460632,1657290840
64,2022-07-08 22:35:00,26.797,26.795,26.817,26.782,373796,1657290900
