,dt,open,close,high,low,vol,ts
0,2023-04-21 21:31:00,164.8,164.13,165.92,163.07,5841282,1682083860
1,2023-04-21 21:32:00,163.95,163.86,164.085,163.86,954651,1682083920
2,2023-04-21 21:33:00,163.76,163.359,163.76,163.26,856869,1682083980
3,2023-04-21 21:34:00,163.337,163.319,163.63,163.319,742337,1682084040
4,2023-04-21 21:35:00,163.04,162.7,163.04,162.7,997425,1682084100
5,2023-04-21 21:36:00,162.53,162.32,162.91,162.32,1062086,1682084160
6,2023-04-21 21:37:00,162.105,162.049,162.365,162.005,1111634,1682084220
7,2023-04-21 21:38:00,162.05,161.81,162.05,161.68,957350,1682084280
8,2023-04-21 21:39:00,162.18,162.4,162.43,162.18,777201,1682084340
9,2023-04-21 21:40:00,162.35,161.75,162.35,161.75,805230,1682084400
10,2023-04-21 21:41:00,161.44,162.24,162.24,161.44,1045772,1682084460
11,2023-04-21 21:42:00,162.24,162.36,162.36,161.93,579796,1682084520
12,2023-04-21 21:43:00,162.42,162.32,162.45,162.224,598034,1682084580
13,2023-04-21 21:44:00,162.204,162.33,162.56,162.204,562581,1682084640
14,2023-04-21 21:45:00,162.109,162.401,162.401,162.05,543458,1682084700
15,2023-04-21 21:46:00,162.7,162.18,162.7,162.18,743454,1682084760
16,2023-04-21 21:47:00,161.81,162.117,162.15,161.81,454694,1682084820
17,2023-04-21 21:48:00,161.93,162.38,162.39,161.93,583270,1682084880
18,2023-04-21 21:49:00,162.46,162.35,162.46,162.32,374916,1682084940
19,2023-04-21 21:50:00,162.42,162.79,162.84,162.42,804156,1682085000
20,2023-04-21 21:51:00,162.58,161.8,162.58,161.8,894716,1682085060
21,2023-04-21 21:52:00,161.934,161.79,161.945,161.52,763712,1682085120
22,2023-04-21 21:53:00,161.7,162.12,162.14,161.61,596120,1682085180
23,2023-04-21 21:54:00,162.11,162.045,162.368,162.045,425628,1682085240
24,2023-04-21 21:55:00,161.991,161.795,161.991,161.795,377408,1682085300
25,2023-04-21 21:56:00,161.65,161.66,161.799,161.65,434706,1682085360
26,2023-04-21 21:57:00,161.53,161.92,162.1,161.393,808094,1682085420
