,dt,open,close,high,low,vol,turnover,ts
0,2024-06-18 21:31:00,186.56,186.468,188.89,186.2,3147839,588531072.0,1718717460
1,2024-06-18 21:32:00,186.1,186.1,186.65,186.1,473570,88234176.0,1718717520
2,2024-06-18 21:33:00,185.71,184.69,185.71,184.69,802715,148711424.0,1718717580
3,2024-06-18 21:34:00,184.59,184.86,185.36,184.59,780810,144372096.0,1718717640
4,2024-06-18 21:35:00,184.96,184.84,185.08,184.84,520083,96192192.0,1718717700
5,2024-06-18 21:36:00,184.88,185.05,185.38,184.88,486391,90013440.0,1718717760
6,2024-06-18 21:37:00,185.025,185.03,185.475,185.025,497375,92062848.0,1718717820
7,2024-06-18 21:38:00,185.0,184.75,185.0,184.68,484157,89446400.0,1718717880
8,2024-06-18 21:39:00,184.63,184.92,185.22,184.63,552611,102079872.0,1718717940
9,2024-06-18 21:40:00,184.666,185.06,185.38,184.666,440268,81408768.0,1718718000
10,2024-06-18 21:41:00,185.26,186.066,186.115,185.26,658548,122261504.0,1718718060
11,2024-06-18 21:42:00,185.96,185.62,186.05,185.62,438420,81469312.0,1718718120
12,2024-06-18 21:43:00,185.635,184.945,185.76,184.945,435848,80792064.0,1718718180
13,2024-06-18 21:44:00,184.81,184.6,184.895,184.6,473686,87473024.0,1718718240
14,2024-06-18 21:45:00,184.72,184.144,184.8,184.144,516548,95265280.0,1718718300
15,2024-06-18 21:46:00,184.0,183.7,184.01,183.7,799053,146947840.0,1718718360
16,2024-06-18 21:47:00,183.554,183.46,183.64,183.43,484599,89000064.0,1718718420
17,2024-06-18 21:48:00,183.415,183.695,183.73,183.322,565973,103924736.0,1718718480
18,2024-06-18 21:49:00,183.54,183.735,183.865,183.54,506582,93123072.0,1718718540
19,2024-06-18 21:50:00,183.685,184.19,184.28,183.685,472463,86983936.0,1718718600
20,2024-06-18 21:51:00,184.24,184.95,184.95,184.24,577121,106544640.0,1718718660
21,2024-06-18 21:52:00,184.91,184.71,184.91,184.63,432165,79821312.0,1718718720
22,2024-06-18 21:53:00,184.453,184.56,184.725,184.45,320088,59063296.0,1718718780
23,2024-06-18 21:54:00,184.66,184.675,184.914,184.66,327917,60582656.0,1718718840
24,2024-06-18 21:55:00,184.58,184.89,184.89,184.477,287400,53083136.0,1718718900
25,2024-06-18 21:56:00,184.715,185.362,185.362,184.6,361072,66765312.0,1718718960
26,2024-06-18 21:57:00,185.35,185.51,185.54,185.263,388112,71916032.0,1718719020
27,2024-06-18 21:58:00,185.385,185.116,185.52,185.116,299559,55520000.0,1718719080
28,2024-06-18 21:59:00,185.257,185.09,185.257,184.96,348729,64531968.0,1718719140
29,2024-06-18 22:00:00,184.93,184.54,184.93,184.54,355426,65650688.0,1718719200
30,2024-06-18 22:01:00,184.27,184.095,184.42,184.095,428708,79051520.0,1718719260
31,2024-06-18 22:02:00,184.042,184.06,184.295,184.0,372910,68686592.0,1718719320
32,2024-06-18 22:03:00,184.225,184.115,184.25,184.08,206512,38067456.0,1718719380
33,2024-06-18 22:04:00,183.995,183.91,184.03,183.91,409158,75326464.0,1718719440
34,2024-06-18 22:05:00,184.013,184.15,184.171,183.96,269470,49638144.0,1718719500
35,2024-06-18 22:06:00,184.143,184.28,184.28,183.889,335782,61859840.0,1718719560
36,2024-06-18 22:07:00,184.13,184.01,184.17,184.01,241092,44429056.0,1718719620
37,2024-06-18 22:08:00,184.088,184.325,184.325,184.04,232826,42892800.0,1718719680
38,2024-06-18 22:09:00,184.375,184.188,184.504,184.188,295192,54451456.0,1718719740
39,2024-06-18 22:10:00,184.06,183.6,184.1,183.6,328318,60428032.0,1718719800
40,2024-06-18 22:11:00,183.85,183.828,183.85,183.598,385302,70828032.0,1718719860
