,dt,open,close,high,low,vol,turnover,ts
0,2024-06-06 21:31:00,195.685,196.09,196.1,195.38,1829283,358048096.0,1717680660
1,2024-06-06 21:32:00,196.0,196.28,196.28,196.0,252441,49512992.0,1717680720
2,2024-06-06 21:33:00,196.25,196.09,196.36,196.09,243560,47794944.0,1717680780
3,2024-06-06 21:34:00,196.09,195.93,196.09,195.83,184893,36223456.0,1717680840
4,2024-06-06 21:35:00,195.845,195.77,195.927,195.77,145085,28412832.0,1717680900
5,2024-06-06 21:36:00,195.73,195.52,195.73,195.52,171607,33572992.0,1717680960
6,2024-06-06 21:37:00,195.45,195.52,195.64,195.45,167778,32807872.0,1717681020
7,2024-06-06 21:38:00,195.55,195.575,195.575,195.51,120308,23525568.0,1717681080
8,2024-06-06 21:39:00,195.53,195.55,195.55,195.46,135432,26476480.0,1717681140
9,2024-06-06 21:40:00,195.61,195.495,195.61,195.495,152764,29874688.0,1717681200
10,2024-06-06 21:41:00,195.549,195.21,195.549,195.21,172068,33621696.0,1717681260
11,2024-06-06 21:42:00,195.46,195.48,195.54,195.415,138799,27119296.0,1717681320
12,2024-06-06 21:43:00,195.54,195.56,195.67,195.54,176569,34537856.0,1717681380
13,2024-06-06 21:44:00,195.608,195.634,195.715,195.6,115796,22655680.0,1717681440
14,2024-06-06 21:45:00,195.67,195.765,195.82,195.67,131954,25828352.0,1717681500
15,2024-06-06 21:46:00,195.68,195.67,195.702,195.67,113412,22193536.0,1717681560
16,2024-06-06 21:47:00,195.62,195.59,195.66,195.53,123989,24247040.0,1717681620
17,2024-06-06 21:48:00,195.562,195.535,195.614,195.53,72429,14165696.0,1717681680
18,2024-06-06 21:49:00,195.552,195.79,195.79,195.552,118660,23220416.0,1717681740
19,2024-06-06 21:50:00,195.81,195.74,195.88,195.74,133550,26146560.0,1717681800
20,2024-06-06 21:51:00,195.765,195.77,195.9,195.765,118717,23230720.0,1717681860
21,2024-06-06 21:52:00,195.735,195.615,195.735,195.56,110809,21682496.0,1717681920
22,2024-06-06 21:53:00,195.63,195.65,195.65,195.571,81542,15953344.0,1717681980
23,2024-06-06 21:54:00,195.64,195.68,195.734,195.62,84783,16590720.0,1717682040
24,2024-06-06 21:55:00,195.73,195.705,195.77,195.7,127362,24929152.0,1717682100
25,2024-06-06 21:56:00,195.79,195.71,195.79,195.71,109208,21378688.0,1717682160
26,2024-06-06 21:57:00,195.73,195.81,195.81,195.65,138183,27046656.0,1717682220
27,2024-06-06 21:58:00,195.84,195.891,195.895,195.8,128051,25104768.0,1717682280
