,dt,open,close,high,low,vol,turnover,ts
0,2021-12-07 22:31:00,143.9,143.495,144.0,141.5,1570348,224771440.0,1638887460
1,2021-12-07 22:32:00,143.42,142.87,143.42,142.87,397548,56937808.0,1638887520
2,2021-12-07 22:33:00,142.84,142.98,142.98,142.84,272375,38920928.0,1638887580
3,2021-12-07 22:34:00,142.59,142.73,142.925,142.59,576912,82266784.0,1638887640
4,2021-12-07 22:35:00,142.71,143.09,143.19,142.71,335430,47963104.0,1638887700
5,2021-12-07 22:36:00,143.005,143.45,143.45,143.005,368048,52707488.0,1638887760
6,2021-12-07 22:37:00,143.483,142.67,143.483,142.67,327803,46902720.0,1638887820
7,2021-12-07 22:38:00,142.66,142.46,142.79,142.432,239909,34204928.0,1638887880
8,2021-12-07 22:39:00,142.53,141.79,142.53,141.79,330960,47021376.0,1638887940
9,2021-12-07 22:40:00,141.855,142.0,142.0,141.855,266352,37792320.0,1638888000
10,2021-12-07 22:41:00,141.804,141.965,142.09,141.75,275014,39043264.0,1638888060
11,2021-12-07 22:42:00,141.93,141.61,141.93,141.31,320668,45398592.0,1638888120
12,2021-12-07 22:43:00,141.729,141.12,141.729,141.12,340031,48083072.0,1638888180
13,2021-12-07 22:44:00,141.46,141.388,141.57,141.388,273183,38642688.0,1638888240
14,2021-12-07 22:45:00,141.18,141.28,141.28,141.06,259001,36576064.0,1638888300
15,2021-12-07 22:46:00,141.3,141.75,141.878,141.29,399728,56589056.0,1638888360
16,2021-12-07 22:47:00,141.5,141.96,141.99,141.5,365890,51886528.0,1638888420
17,2021-12-07 22:48:00,142.24,142.33,142.45,142.21,350401,49859264.0,1638888480
18,2021-12-07 22:49:00,142.0,141.99,142.14,141.98,298390,42414016.0,1638888540
19,2021-12-07 22:50:00,141.895,141.42,141.979,141.41,268729,38079360.0,1638888600
20,2021-12-07 22:51:00,141.319,141.56,141.666,141.3,229981,32531072.0,1638888660
21,2021-12-07 22:52:00,141.675,141.63,141.76,141.503,154576,21896064.0,1638888720
22,2021-12-07 22:53:00,141.598,141.28,141.598,141.16,223530,31584512.0,1638888780
23,2021-12-07 22:54:00,141.48,141.42,141.56,141.38,202311,28612736.0,1638888840
24,2021-12-07 22:55:00,141.726,141.82,141.87,141.726,249187,35330176.0,1638888900
25,2021-12-07 22:56:00,141.565,141.84,141.93,141.565,203588,28873344.0,1638888960
26,2021-12-07 22:57:00,141.88,141.81,141.895,141.652,207320,29393152.0,1638889020
27,2021-12-07 22:58:00,141.64,141.415,141.64,141.415,144989,20530176.0,1638889080
28,2021-12-07 22:59:00,141.546,141.41,141.6,141.41,178563,25273984.0,1638889140
29,2021-12-07 23:00:00,141.35,141.76,141.76,141.35,185001,26181504.0,1638889200
30,2021-12-07 23:01:00,141.6,141.6,141.81,141.6,160034,22683648.0,1638889260
31,2021-12-07 23:02:00,141.77,142.13,142.13,141.77,280747,39847168.0,1638889320
32,2021-12-07 23:03:00,142.034,142.08,142.155,142.034,219342,31158016.0,1638889380
33,2021-12-07 23:04:00,142.28,142.31,142.36,142.27,307376,43722624.0,1638889440
34,2021-12-07 23:05:00,142.39,142.03,142.39,141.87,307360,43684736.0,1638889500
35,2021-12-07 23:06:00,142.01,141.71,142.01,141.43,309909,43921408.0,1638889560
36,2021-12-07 23:07:00,141.91,141.91,141.975,141.769,143276,20327296.0,1638889620
37,2021-12-07 23:08:00,141.97,141.99,141.99,141.88,126866,18010240.0,1638889680
38,2021-12-07 23:09:00,142.2,142.265,142.32,142.2,197334,28064256.0,1638889740
39,2021-12-07 23:10:00,142.385,142.895,142.895,142.385,324603,46284928.0,1638889800
40,2021-12-07 23:11:00,142.58,142.47,142.67,142.47,232975,33218688.0,1638889860
41,2021-12-07 23:12:00,142.49,142.675,142.675,142.49,212763,30318720.0,1638889920
42,2021-12-07 23:13:00,142.787,142.94,142.94,142.702,177142,25303296.0,1638889980
43,2021-12-07 23:14:00,143.11,143.21,143.315,143.11,292363,41857280.0,1638890040
44,2021-12-07 23:15:00,143.103,143.21,143.27,143.103,158142,22649216.0,1638890100
45,2021-12-07 23:16:00,143.15,143.0,143.18,142.9,157610,22543360.0,1638890160
46,2021-12-07 23:17:00,142.97,142.885,142.97,142.63,301567,43071616.0,1638890220
