,dt,open,close,high,low,vol,turnover,ts
0,2023-12-22 22:31:00,372.18,372.06,372.405,370.58,599328,223796656.0,1703255460
1,2023-12-22 22:32:00,372.098,372.077,372.098,371.93,62946,23511296.0,1703255520
2,2023-12-22 22:33:00,372.04,372.025,372.04,371.993,63055,23555376.0,1703255580
3,2023-12-22 22:34:00,372.065,372.04,372.065,371.96,63190,23603488.0,1703255640
4,2023-12-22 22:35:00,372.02,371.47,372.02,371.47,77871,29069696.0,1703255700
5,2023-12-22 22:36:00,371.67,371.63,371.67,371.41,58529,21836800.0,1703255760
6,2023-12-22 22:37:00,371.77,371.4,371.77,371.4,32244,12032704.0,1703255820
7,2023-12-22 22:38:00,371.46,371.48,371.48,371.42,30472,11367392.0,1703255880
8,2023-12-22 22:39:00,371.64,371.235,371.64,371.235,50727,18918624.0,1703255940
9,2023-12-22 22:40:00,371.32,371.52,371.52,371.32,58308,21742688.0,1703256000
10,2023-12-22 22:41:00,371.47,371.78,371.78,371.365,52758,19681920.0,1703256060
11,2023-12-22 22:42:00,371.745,371.825,371.87,371.59,64282,23994816.0,1703256120
12,2023-12-22 22:43:00,371.92,371.995,372.05,371.92,74842,27954080.0,1703256180
13,2023-12-22 22:44:00,371.99,371.98,372.01,371.887,63849,23847296.0,1703256240
14,2023-12-22 22:45:00,372.11,372.263,372.4,372.11,63620,23777696.0,1703256300
15,2023-12-22 22:46:00,372.34,372.214,372.39,372.214,34501,12898720.0,1703256360
16,2023-12-22 22:47:00,372.139,372.22,372.23,372.11,36677,13706944.0,1703256420
17,2023-12-22 22:48:00,372.19,372.315,372.315,372.135,26490,9900800.0,1703256480
18,2023-12-22 22:49:00,372.35,372.3,372.35,372.13,37151,13886016.0,1703256540
19,2023-12-22 22:50:00,372.45,372.38,372.45,372.38,80004,29916608.0,1703256600
20,2023-12-22 22:51:00,372.39,372.44,372.5,372.346,82968,31020608.0,1703256660
21,2023-12-22 22:52:00,372.44,372.4,372.45,372.4,64748,24210176.0,1703256720
22,2023-12-22 22:53:00,372.48,372.397,372.58,372.397,48542,18155456.0,1703256780
23,2023-12-22 22:54:00,372.372,372.47,372.47,372.34,29440,11007808.0,1703256840
24,2023-12-22 22:55:00,372.604,372.6,372.71,372.6,52366,19594816.0,1703256900
25,2023-12-22 22:56:00,372.7,372.44,372.775,372.44,41368,15480192.0,1703256960
26,2023-12-22 22:57:00,372.4,372.385,372.4,372.34,50478,18872704.0,1703257020
27,2023-12-22 22:58:00,372.425,372.61,372.657,372.42,33091,12376704.0,1703257080
28,2023-12-22 22:59:00,372.5,372.42,372.5,372.42,40963,15318144.0,1703257140
29,2023-12-22 23:00:00,372.49,372.56,372.56,372.39,33538,12542912.0,1703257200
30,2023-12-22 23:01:00,372.51,372.44,372.56,372.44,41037,15349824.0,1703257260
31,2023-12-22 23:02:00,372.44,372.46,372.467,372.44,70112,26221312.0,1703257320
32,2023-12-22 23:03:00,372.47,372.52,372.6,372.47,63648,23804992.0,1703257380
33,2023-12-22 23:04:00,372.48,372.73,372.75,372.48,39379,14731840.0,1703257440
34,2023-12-22 23:05:00,372.695,372.722,372.741,372.627,26352,9862720.0,1703257500
35,2023-12-22 23:06:00,372.753,372.925,372.96,372.753,53131,19896320.0,1703257560
36,2023-12-22 23:07:00,372.67,372.58,372.67,372.54,37997,14226816.0,1703257620
37,2023-12-22 23:08:00,372.61,372.695,372.695,372.61,22498,8428288.0,1703257680
38,2023-12-22 23:09:00,372.74,372.965,372.965,372.74,38591,14457088.0,1703257740
39,2023-12-22 23:10:00,373.05,372.93,373.05,372.9,50489,18917504.0,1703257800
40,2023-12-22 23:11:00,373.05,372.83,373.05,372.78,36797,13785408.0,1703257860
41,2023-12-22 23:12:00,372.82,372.7,372.9,372.7,33751,12641728.0,1703257920
42,2023-12-22 23:13:00,372.735,372.935,372.935,372.69,36696,13744128.0,1703257980
43,2023-12-22 23:14:00,372.979,372.933,373.17,372.933,47182,17680960.0,1703258040
44,2023-12-22 23:15:00,372.966,373.16,373.16,372.966,288878,108225088.0,1703258100
45,2023-12-22 23:16:00,373.21,373.096,373.21,373.096,32107,12037248.0,1703258160
46,2023-12-22 23:17:00,373.16,373.074,373.16,373.05,23178,8692736.0,1703258220
47,2023-12-22 23:18:00,373.04,373.178,373.18,373.04,24151,9057792.0,1703258280
48,2023-12-22 23:19:00,373.185,373.35,373.35,373.18,39072,14653696.0,1703258340
49,2023-12-22 23:20:00,373.358,373.18,373.36,373.18,45852,17196416.0,1703258400
50,2023-12-22 23:21:00,373.24,373.08,373.27,373.04,31347,11756160.0,1703258460
51,2023-12-22 23:22:00,373.25,373.17,373.269,373.17,31435,11791488.0,1703258520
52,2023-12-22 23:23:00,373.2,373.26,373.26,373.17,30136,11302784.0,1703258580
53,2023-12-22 23:24:00,373.221,373.22,373.28,373.2,45632,17112320.0,1703258640
54,2023-12-22 23:25:00,373.18,373.11,373.18,372.99,37443,14038656.0,1703258700
55,2023-12-22 23:26:00,372.873,372.985,372.985,372.835,51249,19199232.0,1703258760
56,2023-12-22 23:27:00,372.9,372.9,372.92,372.88,19373,7264768.0,1703258820
57,2023-12-22 23:28:00,373.045,373.08,373.19,373.045,27059,10148096.0,1703258880
58,2023-12-22 23:29:00,373.09,373.2,373.229,373.09,16169,6069120.0,1703258940
59,2023-12-22 23:30:00,373.345,373.115,373.345,373.115,34139,12805888.0,1703259000
60,2023-12-22 23:31:00,373.253,373.207,373.384,373.207,39243,14721280.0,1703259060
61,2023-12-22 23:32:00,373.22,373.196,373.318,373.196,23180,8696064.0,1703259120
62,2023-12-22 23:33:00,373.207,373.325,373.35,373.207,19655,7376128.0,1703259180
63,2023-12-22 23:34:00,373.354,373.39,373.39,373.335,19456,7306112.0,1703259240
64,2023-12-22 23:35:00,373.38,373.38,373.39,373.33,21581,8103680.0,1703259300
65,2023-12-22 23:36:00,373.41,373.385,373.44,373.385,835051,313075584.0,1703259360
66,2023-12-22 23:37:00,373.36,373.54,373.54,373.335,110978,41629184.0,1703259420
67,2023-12-22 23:38:00,373.571,373.35,373.571,373.35,51683,19399680.0,1703259480
68,2023-12-22 23:39:00,373.39,373.307,373.415,373.16,41705,15644032.0,1703259540
69,2023-12-22 23:40:00,373.36,373.52,373.52,373.3,24912,9349888.0,1703259600
70,2023-12-22 23:41:00,373.475,373.54,373.65,373.475,45565,17100416.0,1703259660
71,2023-12-22 23:42:00,373.54,373.465,373.57,373.465,28210,10589568.0,1703259720
72,2023-12-22 23:43:00,373.53,373.41,373.57,373.36,22220,8341504.0,1703259780
73,2023-12-22 23:44:00,373.43,373.54,373.54,373.39,30775,11550080.0,1703259840
74,2023-12-22 23:45:00,373.5,373.47,373.515,373.47,17136,6437504.0,1703259900
75,2023-12-22 23:46:00,373.49,373.5,373.54,373.49,23913,8970624.0,1703259960
76,2023-12-22 23:47:00,373.5,373.545,373.578,373.49,30169,11316736.0,1703260020
77,2023-12-22 23:48:00,373.535,373.51,373.535,373.43,31922,11971584.0,1703260080
78,2023-12-22 23:49:00,373.49,373.439,373.5,373.41,25556,9584256.0,1703260140
79,2023-12-22 23:50:00,373.461,373.436,373.461,373.41,20603,7725568.0,1703260200
80,2023-12-22 23:51:00,373.45,373.377,373.46,373.35,33397,12522752.0,1703260260
81,2023-12-22 23:52:00,373.37,373.48,373.48,373.37,17945,6730752.0,1703260320
