,dt,open,close,high,low,vol,turnover,ts
0,2023-12-22 22:31:00,140.985,140.86,143.02,140.39,906650,127957880.0,1703255460
1,2023-12-22 22:32:00,140.87,140.84,140.87,139.91,218961,30709736.0,1703255520
2,2023-12-22 22:33:00,140.35,141.052,141.052,140.21,103377,14515904.0,1703255580
3,2023-12-22 22:34:00,140.635,141.69,141.69,140.635,131233,18529184.0,1703255640
4,2023-12-22 22:35:00,141.785,142.4,142.4,141.63,165664,23498128.0,1703255700
5,2023-12-22 22:36:00,142.68,142.68,143.145,142.68,150484,21495168.0,1703255760
6,2023-12-22 22:37:00,143.26,143.438,143.438,143.183,241149,34532400.0,1703255820
7,2023-12-22 22:38:00,143.51,143.897,143.897,143.51,91714,13175616.0,1703255880
8,2023-12-22 22:39:00,143.915,143.37,143.915,143.37,69432,9965088.0,1703255940
9,2023-12-22 22:40:00,143.39,143.085,143.45,143.085,100116,14349504.0,1703256000
10,2023-12-22 22:41:00,142.65,143.435,143.46,142.65,75025,10736224.0,1703256060
11,2023-12-22 22:42:00,143.563,143.87,143.895,143.563,53460,7682880.0,1703256120
12,2023-12-22 22:43:00,143.89,143.64,143.89,143.64,35301,5075200.0,1703256180
13,2023-12-22 22:44:00,143.7,143.7,143.81,143.49,29797,4279008.0,1703256240
14,2023-12-22 22:45:00,143.805,143.55,143.805,143.31,37095,5324896.0,1703256300
15,2023-12-22 22:46:00,143.06,142.325,143.06,142.325,48711,6953984.0,1703256360
16,2023-12-22 22:47:00,142.35,143.03,143.03,142.35,41613,5932672.0,1703256420
17,2023-12-22 22:48:00,142.98,142.79,142.98,142.69,26674,3809728.0,1703256480
18,2023-12-22 22:49:00,142.89,142.83,143.0,142.83,14674,2095072.0,1703256540
19,2023-12-22 22:50:00,143.0,142.96,143.0,142.795,26798,3829824.0,1703256600
20,2023-12-22 22:51:00,142.862,143.17,143.17,142.862,17895,2559456.0,1703256660
21,2023-12-22 22:52:00,143.19,143.06,143.22,143.06,22386,3204704.0,1703256720
22,2023-12-22 22:53:00,143.085,143.12,143.12,143.0,32345,4625888.0,1703256780
