,dt,open,close,high,low,vol,turnover,ts
0,2022-05-10 21:31:00,273.103,273.943,273.943,265.087,1648905,1338432384.0,1652189460
1,2022-05-10 21:32:00,273.934,273.513,273.934,273.26,202381,166121088.0,1652189520
2,2022-05-10 21:33:00,274.1,274.348,274.808,274.093,215865,177518464.0,1652189580
3,2022-05-10 21:34:00,274.737,272.21,274.737,272.21,263131,216158592.0,1652189640
4,2022-05-10 21:35:00,272.044,271.964,272.401,271.941,154164,125882624.0,1652189700
5,2022-05-10 21:36:00,271.333,270.008,271.333,269.697,239812,194615296.0,1652189760
6,2022-05-10 21:37:00,269.3,269.397,269.397,268.495,227706,183643904.0,1652189820
7,2022-05-10 21:38:00,269.763,269.68,270.0,269.551,143389,115981056.0,1652189880
8,2022-05-10 21:39:00,269.229,269.761,269.969,269.02,118639,95938816.0,1652189940
9,2022-05-10 21:40:00,269.253,270.13,270.275,269.253,142535,115352064.0,1652190000
10,2022-05-10 21:41:00,270.157,268.687,270.157,268.667,123184,99479040.0,1652190060
11,2022-05-10 21:42:00,268.843,268.723,268.843,268.127,105633,85052160.0,1652190120
12,2022-05-10 21:43:00,269.38,269.157,269.38,268.592,99892,80616448.0,1652190180
13,2022-05-10 21:44:00,268.637,268.333,268.637,268.12,94135,75747072.0,1652190240
14,2022-05-10 21:45:00,268.09,268.052,268.147,268.0,98559,79224832.0,1652190300
15,2022-05-10 21:46:00,268.179,267.15,268.179,267.077,121078,97171200.0,1652190360
16,2022-05-10 21:47:00,267.333,266.307,267.333,266.274,204007,163219968.0,1652190420
17,2022-05-10 21:48:00,266.2,266.247,267.12,266.2,172988,138297600.0,1652190480
18,2022-05-10 21:49:00,265.607,265.497,265.607,264.917,168948,134444544.0,1652190540
19,2022-05-10 21:50:00,265.176,265.63,265.63,265.176,77944,62034944.0,1652190600
20,2022-05-10 21:51:00,265.493,265.997,266.103,265.493,122593,97756416.0,1652190660
21,2022-05-10 21:52:00,266.4,266.967,266.967,265.67,118660,94746624.0,1652190720
22,2022-05-10 21:53:00,266.946,267.413,267.68,266.946,148514,119092992.0,1652190780
23,2022-05-10 21:54:00,267.303,267.043,267.303,266.927,104978,84152320.0,1652190840
24,2022-05-10 21:55:00,267.093,267.333,267.347,266.997,70350,56376320.0,1652190900
25,2022-05-10 21:56:00,268.119,268.263,268.763,268.119,158488,127624960.0,1652190960
26,2022-05-10 21:57:00,268.203,267.817,268.203,267.618,75108,60425216.0,1652191020
27,2022-05-10 21:58:00,267.958,267.947,268.553,267.66,104637,84216832.0,1652191080
28,2022-05-10 21:59:00,268.37,269.167,269.3,268.37,111342,89850368.0,1652191140
29,2022-05-10 22:00:00,269.437,269.955,269.955,269.111,115377,93300224.0,1652191200
30,2022-05-10 22:01:00,269.98,269.02,269.98,269.02,109505,88622080.0,1652191260
31,2022-05-10 22:02:00,269.803,269.968,270.573,269.803,133209,108048384.0,1652191320
32,2022-05-10 22:03:00,269.67,271.99,271.99,269.67,169822,138204160.0,1652191380
33,2022-05-10 22:04:00,272.073,272.164,272.487,271.918,155638,127219712.0,1652191440
34,2022-05-10 22:05:00,272.002,273.203,273.203,272.002,167506,137257472.0,1652191500
35,2022-05-10 22:06:00,273.44,272.83,273.447,272.657,127774,104724480.0,1652191560
36,2022-05-10 22:07:00,273.6,274.1,274.436,273.6,174124,143165440.0,1652191620
37,2022-05-10 22:08:00,273.942,273.11,273.942,273.11,111262,91343872.0,1652191680
38,2022-05-10 22:09:00,273.513,272.197,273.513,272.186,106886,87532544.0,1652191740
39,2022-05-10 22:10:00,272.575,271.073,272.575,271.073,127255,103810560.0,1652191800
40,2022-05-10 22:11:00,271.283,270.43,271.557,270.43,125061,101736960.0,1652191860
41,2022-05-10 22:12:00,270.647,271.25,271.31,270.647,61579,50108416.0,1652191920
42,2022-05-10 22:13:00,271.173,270.577,271.243,270.328,86775,70581760.0,1652191980
43,2022-05-10 22:14:00,269.973,270.661,270.661,269.973,83558,67800576.0,1652192040
44,2022-05-10 22:15:00,271.003,270.51,271.073,270.51,67048,54540288.0,1652192100
45,2022-05-10 22:16:00,270.705,271.168,271.536,270.705,82948,67530752.0,1652192160
46,2022-05-10 22:17:00,271.248,271.82,271.82,271.248,87959,71730176.0,1652192220
47,2022-05-10 22:18:00,271.504,272.297,272.297,270.94,64579,52625920.0,1652192280
48,2022-05-10 22:19:00,271.517,271.252,271.772,271.252,57535,46932992.0,1652192340
49,2022-05-10 22:20:00,271.2,270.868,271.2,270.237,78795,64051712.0,1652192400
50,2022-05-10 22:21:00,270.533,271.152,271.152,270.533,60628,49296896.0,1652192460
51,2022-05-10 22:22:00,271.763,270.667,271.763,270.597,80386,65478144.0,1652192520
52,2022-05-10 22:23:00,269.46,269.285,269.477,269.167,133161,107764736.0,1652192580
53,2022-05-10 22:24:00,268.93,269.078,269.078,268.67,94674,76417024.0,1652192640
54,2022-05-10 22:25:00,269.477,269.96,269.96,269.24,53343,43165184.0,1652192700
55,2022-05-10 22:26:00,269.48,269.767,270.13,269.48,58809,47630848.0,1652192760
56,2022-05-10 22:27:00,269.909,269.017,269.909,269.017,54189,43856384.0,1652192820
57,2022-05-10 22:28:00,269.04,268.293,269.04,268.203,74703,60261376.0,1652192880
58,2022-05-10 22:29:00,268.173,267.997,268.173,267.95,78974,63570432.0,1652192940
59,2022-05-10 22:30:00,268.527,268.673,268.673,268.333,63051,50808832.0,1652193000
60,2022-05-10 22:31:00,268.775,268.687,268.775,268.327,43791,35309056.0,1652193060
61,2022-05-10 22:32:00,268.533,268.83,268.83,268.29,53037,42764288.0,1652193120
62,2022-05-10 22:33:00,268.63,270.043,270.043,268.63,91486,73976832.0,1652193180
63,2022-05-10 22:34:00,270.305,269.333,270.305,269.212,71094,57565696.0,1652193240
64,2022-05-10 22:35:00,269.157,268.91,269.173,268.72,46159,37274112.0,1652193300
65,2022-05-10 22:36:00,268.543,268.434,268.543,268.167,71326,57480704.0,1652193360
66,2022-05-10 22:37:00,268.48,267.743,268.61,267.743,57799,46537728.0,1652193420
67,2022-05-10 22:38:00,268.093,267.567,268.15,267.567,64707,52052480.0,1652193480
68,2022-05-10 22:39:00,267.407,267.132,267.483,267.132,63739,51193344.0,1652193540
69,2022-05-10 22:40:00,267.278,267.21,267.59,267.207,58706,47191040.0,1652193600
70,2022-05-10 22:41:00,267.128,266.453,267.128,266.453,120000,96220672.0,1652193660
71,2022-05-10 22:42:00,266.603,266.523,266.603,266.043,77818,62274048.0,1652193720
72,2022-05-10 22:43:00,266.088,265.518,266.088,265.518,74364,59414016.0,1652193780
73,2022-05-10 22:44:00,265.662,266.043,266.043,265.213,88606,70705152.0,1652193840
74,2022-05-10 22:45:00,266.0,266.398,266.398,266.0,86174,68893184.0,1652193900
75,2022-05-10 22:46:00,266.0,265.757,266.047,265.757,69673,55676416.0,1652193960
76,2022-05-10 22:47:00,265.403,265.14,265.403,264.864,88577,70620160.0,1652194020
77,2022-05-10 22:48:00,265.487,263.733,265.487,263.733,157201,124764672.0,1652194080
78,2022-05-10 22:49:00,263.528,263.247,263.528,263.224,131702,104273408.0,1652194140
79,2022-05-10 22:50:00,263.24,263.233,263.62,263.233,79463,62849536.0,1652194200
80,2022-05-10 22:51:00,263.143,262.75,263.143,262.533,79635,62909952.0,1652194260
81,2022-05-10 22:52:00,262.807,263.3,263.3,262.807,87023,68783104.0,1652194320
82,2022-05-10 22:53:00,263.257,263.037,263.412,262.961,63552,50252288.0,1652194380
83,2022-05-10 22:54:00,262.737,263.66,263.66,262.737,77362,61143552.0,1652194440
84,2022-05-10 22:55:00,263.897,264.461,264.515,263.887,133472,105906176.0,1652194500
85,2022-05-10 22:56:00,264.153,263.854,264.153,263.554,58853,46674944.0,1652194560
86,2022-05-10 22:57:00,263.617,263.773,264.053,263.503,39171,31116288.0,1652194620
87,2022-05-10 22:58:00,263.903,263.817,263.903,263.407,52557,41651200.0,1652194680
88,2022-05-10 22:59:00,263.845,264.033,264.033,263.677,36025,28591104.0,1652194740
89,2022-05-10 23:00:00,264.0,263.47,264.0,263.253,51498,40804352.0,1652194800
90,2022-05-10 23:01:00,263.5,262.853,263.573,262.853,48859,38690816.0,1652194860
91,2022-05-10 23:02:00,263.113,263.007,263.338,262.962,67267,53202944.0,1652194920
92,2022-05-10 23:03:00,263.0,263.168,263.94,262.907,62854,49762304.0,1652194980
93,2022-05-10 23:04:00,263.109,261.981,263.109,261.981,111368,88114176.0,1652195040
94,2022-05-10 23:05:00,261.817,261.358,261.9,261.227,108884,85799936.0,1652195100
95,2022-05-10 23:06:00,261.123,260.52,261.123,260.52,104080,81679360.0,1652195160
96,2022-05-10 23:07:00,260.399,260.58,261.188,260.267,122420,95936512.0,1652195220
97,2022-05-10 23:08:00,260.677,260.48,261.233,260.48,82684,64813056.0,1652195280
98,2022-05-10 23:09:00,260.707,260.93,260.93,260.688,47082,36935680.0,1652195340
99,2022-05-10 23:10:00,260.62,259.74,260.8,259.697,186171,146178048.0,1652195400
100,2022-05-10 23:11:00,259.533,259.603,259.603,258.797,129432,101000192.0,1652195460
101,2022-05-10 23:12:00,259.647,259.5,259.705,259.37,109682,85575680.0,1652195520
102,2022-05-10 23:13:00,259.557,259.48,259.686,259.243,69021,53911552.0,1652195580
103,2022-05-10 23:14:00,259.667,259.373,259.787,259.373,57889,45212672.0,1652195640
104,2022-05-10 23:15:00,259.057,258.667,259.162,258.667,93761,73102336.0,1652195700
105,2022-05-10 23:16:00,258.523,258.548,258.951,258.333,168229,130959360.0,1652195760
106,2022-05-10 23:17:00,259.123,259.74,259.74,258.877,102252,79719424.0,1652195820
